Algorithm,Strategy,POIs dist,Net size,Cap,Merge cells,Sample,Num queries,Num users,Prop POIs,Num POIs,Cost,WARL,MWRL,MRL1,MRL2,Num it,Elapsed time,Alpha,Beta,Entropy
VST-NCA,N/A,zipfian,900,4,False,0,16,16,0.1,1,5995.190793824682,0.20227124183362863,0.0015781095692923588,2.75,4.25,0,37.151498434854005,0.5,4.0,2.2789263156818476
VST-NCA,N/A,uniform,900,4,False,0,16,16,0.1,1,9343.71197481028,0.21226411589004232,0.0023231712615112915,2.25,6.0,0,53.33159798840253,0.5,4.0,2.2925469331146107
VST-CA,mixed,zipfian,900,4,False,0,16,16,0.1,1,5995.190793824682,0.20227124183362863,0.0015781095692923588,2.75,4.25,2,73.90716631600553,0.5,4.0,2.2789263156818476
VST-CA,mixed,uniform,900,4,False,0,16,16,0.1,1,9343.71197481028,0.21226411589004232,0.0023231712615112915,2.25,6.0,2,89.19025606814799,0.5,4.0,2.2925469331146107
VST-CA,pure,zipfian,900,4,False,0,16,16,0.1,1,5995.190793824682,0.20227124183362863,0.0015781095692923588,2.75,4.25,2,81.60667778519013,0.5,4.0,2.2789263156818476
VST-CA,pure,uniform,900,4,False,0,16,16,0.1,1,9343.71197481028,0.21226411589004232,0.0023231712615112915,2.25,6.0,2,106.81945142915788,0.5,4.0,2.2925469331146107
VST-NCA,N/A,zipfian,900,4,False,1,16,16,0.1,1,11131.656450156557,0.20339597237872725,0.0017983015927075725,4.5,5.0,0,47.83230204751885,0.5,4.0,2.2655051034061127
VST-NCA,N/A,uniform,900,4,False,1,16,16,0.1,1,10867.476379309965,0.2051278118711294,0.0019981128807861916,5.0,5.0,0,51.80899009596146,0.5,4.0,2.2845068194370306
VST-CA,mixed,zipfian,900,4,False,1,16,16,0.1,1,11131.656450156557,0.20339597237872725,0.0017983015927075725,4.5,5.0,2,87.36295479037312,0.5,4.0,2.2655051034061127
VST-CA,mixed,uniform,900,4,False,1,16,16,0.1,1,10867.476379309965,0.2051278118711294,0.0019981128807861916,5.0,5.0,2,91.72685482629436,0.5,4.0,2.2845068194370306
VST-CA,pure,zipfian,900,4,False,1,16,16,0.1,1,11131.656450156557,0.20339597237872725,0.0017983015927075725,4.5,5.0,2,95.16215528300916,0.5,4.0,2.2655051034061127
VST-CA,pure,uniform,900,4,False,1,16,16,0.1,1,10867.476379309965,0.2051278118711294,0.0019981128807861916,5.0,5.0,2,102.5697239185098,0.5,4.0,2.2845068194370306
VST-NCA,N/A,zipfian,900,4,False,2,16,16,0.1,1,7212.808908010121,0.21676680054883202,0.0017894235255899718,2.5,4.75,0,51.84031970031299,0.5,4.0,2.336198815798418
VST-NCA,N/A,uniform,900,4,False,2,16,16,0.1,1,5543.347659390556,0.2135138130941637,0.0024656619122265856,3.0,4.5,0,47.48473905680714,0.5,4.0,2.297456723283902
VST-CA,mixed,zipfian,900,4,False,2,16,16,0.1,1,7212.808908010121,0.21676680054883202,0.0017894235255899718,2.5,4.75,2,91.87813003540828,0.5,4.0,2.336198815798418
VST-CA,mixed,uniform,900,4,False,2,16,16,0.1,1,5543.347659390556,0.2135138130941637,0.0024656619122265856,3.0,4.5,2,82.75540873402792,0.5,4.0,2.297456723283902
VST-CA,pure,zipfian,900,4,False,2,16,16,0.1,1,7212.808908010121,0.21676680054883202,0.0017894235255899718,2.5,4.75,2,100.87574280289437,0.5,4.0,2.336198815798418
VST-CA,pure,uniform,900,4,False,2,16,16,0.1,1,5543.347659390556,0.2135138130941637,0.0024656619122265856,3.0,4.5,2,96.43166213373001,0.5,4.0,2.297456723283902
VST-NCA,N/A,zipfian,900,4,False,3,16,16,0.1,1,9968.913881015726,0.20439321285950535,0.0017983015927075725,4.5,4.75,0,51.58492533483877,0.5,4.0,2.267670219322218
VST-NCA,N/A,uniform,900,4,False,3,16,16,0.1,1,4531.985582895098,0.19925978611266107,0.0018492464341699393,2.25,3.5,0,46.94301226458674,0.5,4.0,2.230127907465212
VST-CA,mixed,zipfian,900,4,False,3,16,16,0.1,1,9968.913881015726,0.20439321285950535,0.0017983015927075725,4.5,4.75,2,93.8384697490635,0.5,4.0,2.267670219322218
VST-CA,mixed,uniform,900,4,False,3,16,16,0.1,1,4531.985582895098,0.19925978611266107,0.0018492464341699393,2.25,3.5,2,79.39906553086666,0.5,4.0,2.230127907465212
VST-CA,pure,zipfian,900,4,False,3,16,16,0.1,1,9968.913881015726,0.20439321285950535,0.0017983015927075725,4.5,4.75,2,101.81618668856163,0.5,4.0,2.267670219322218
VST-CA,pure,uniform,900,4,False,3,16,16,0.1,1,4531.985582895098,0.19925978611266107,0.0018492464341699393,2.25,3.5,2,92.25836044542507,0.5,4.0,2.230127907465212
VST-NCA,N/A,zipfian,900,4,False,4,16,16,0.1,1,11917.416369570756,0.219320527589496,0.0017983015927075725,4.5,4.5,0,57.383732744906865,0.5,4.0,2.325908079140624
VST-NCA,N/A,uniform,900,4,False,4,16,16,0.1,1,8918.574456464745,0.20686967555408495,0.0025813014016792127,2.5,4.75,0,50.45061938728372,0.5,4.0,2.307504220117216
VST-CA,mixed,zipfian,900,4,False,4,16,16,0.1,1,11917.416369570756,0.219320527589496,0.0017983015927075725,4.5,4.5,2,104.39075588854098,0.5,4.0,2.325908079140624
VST-CA,mixed,uniform,900,4,False,4,16,16,0.1,1,8918.574456464745,0.20686967555408495,0.0025813014016792127,2.5,4.75,2,82.73463026633135,0.5,4.0,2.307504220117216
VST-CA,pure,zipfian,900,4,False,4,16,16,0.1,1,11917.416369570756,0.219320527589496,0.0017983015927075725,4.5,4.5,2,114.17597423923598,0.5,4.0,2.325908079140624
VST-CA,pure,uniform,900,4,False,4,16,16,0.1,1,8918.574456464745,0.20686967555408495,0.0025813014016792127,2.5,4.75,2,95.08951967978692,0.5,4.0,2.307504220117216
VST-NCA,N/A,zipfian,900,8,False,0,32,16,0.1,1,12750.196294372994,0.20461970121151105,0.0033556918221829767,3.25,4.125,0,88.25304715964467,0.5,4.0,3.0239681509180705
VST-NCA,N/A,uniform,900,8,False,0,32,16,0.1,1,9984.880443075688,0.211899112461408,0.002452236331595252,2.375,3.75,0,104.0971273156465,0.5,4.0,3.0369550980822684
VST-CA,mixed,zipfian,900,8,False,0,32,16,0.1,1,12750.196294372994,0.20461970121151105,0.0033556918221829767,3.25,4.125,2,152.586848668343,0.5,4.0,3.0239681509180705
VST-CA,mixed,uniform,900,8,False,0,32,16,0.1,1,9984.880443075688,0.211899112461408,0.002452236331595252,2.375,3.75,2,166.55756453019967,0.5,4.0,3.0369550980822684
VST-CA,pure,zipfian,900,8,False,0,32,16,0.1,1,12750.196294372994,0.20461970121151105,0.0033556918221829767,3.25,4.125,2,175.4963160055422,0.5,4.0,3.0239681509180705
VST-CA,pure,uniform,900,8,False,0,32,16,0.1,1,9984.880443075688,0.211899112461408,0.002452236331595252,2.375,3.75,2,200.62589367270493,0.5,4.0,3.0369550980822684
VST-NCA,N/A,zipfian,900,8,False,1,32,16,0.1,1,15258.282980481574,0.21418091960322214,0.0038719521025188195,3.75,4.125,0,97.27502745419997,0.5,4.0,3.066550291837086
VST-NCA,N/A,uniform,900,8,False,1,32,16,0.1,1,11244.84527704436,0.20778025820538426,0.002204135784686232,2.25,4.0,0,94.61410119566881,0.5,4.0,3.034549375732502
VST-CA,mixed,zipfian,900,8,False,1,32,16,0.1,1,15258.282980481574,0.21418091960322214,0.0038719521025188195,3.75,4.125,2,159.63220557294608,0.5,4.0,3.066550291837086
VST-CA,mixed,uniform,900,8,False,1,32,16,0.1,1,11244.84527704436,0.20778025820538426,0.002204135784686232,2.25,4.0,2,152.3082993790731,0.5,4.0,3.034549375732502
VST-CA,pure,zipfian,900,8,False,1,32,16,0.1,1,15258.282980481574,0.21418091960322214,0.0038719521025188195,3.75,4.125,2,200.11021296248782,0.5,4.0,3.066550291837086
VST-CA,pure,uniform,900,8,False,1,32,16,0.1,1,11244.84527704436,0.20778025820538426,0.002204135784686232,2.25,4.0,2,183.95700672243038,0.5,4.0,3.034549375732502
VST-NCA,N/A,zipfian,900,8,False,2,32,16,0.1,1,10427.739554191461,0.21031178351941876,0.003226626752099016,3.125,3.875,0,92.26080566531527,0.5,4.0,3.0350161820229853
VST-NCA,N/A,uniform,900,8,False,2,32,16,0.1,1,12626.498296186583,0.2053042856580734,0.0025683978252360267,3.125,4.25,0,90.37620362292819,0.5,4.0,3.0176609921588518
VST-CA,mixed,zipfian,900,8,False,2,32,16,0.1,1,10427.739554191461,0.21031178351941876,0.003226626752099016,3.125,3.875,2,151.57237645609894,0.5,4.0,3.0350161820229853
VST-CA,mixed,uniform,900,8,False,2,32,16,0.1,1,12626.498296186583,0.2053042856580734,0.0025683978252360267,3.125,4.25,2,150.7317509108634,0.5,4.0,3.0176609921588518
VST-CA,pure,zipfian,900,8,False,2,32,16,0.1,1,10427.739554191461,0.21031178351941876,0.003226626752099016,3.125,3.875,2,185.37273002514485,0.5,4.0,3.0350161820229853
VST-CA,pure,uniform,900,8,False,2,32,16,0.1,1,12626.498296186583,0.2053042856580734,0.0025683978252360267,3.125,4.25,2,177.81449017293562,0.5,4.0,3.0176609921588518
VST-NCA,N/A,zipfian,900,8,False,3,32,16,0.1,1,14987.882467758502,0.21907866894489877,0.00400101717260278,3.875,4.125,0,93.95939190229365,0.5,4.0,3.091943590904758
VST-NCA,N/A,uniform,900,8,False,3,32,16,0.1,1,9388.138727982965,0.21072128590341316,0.002081683796648108,2.125,3.5,0,96.21445630420294,0.5,4.0,3.080166420099142
VST-CA,mixed,zipfian,900,8,False,3,32,16,0.1,1,14987.882467758502,0.21907866894489877,0.00400101717260278,3.875,4.125,2,158.23811412736632,0.5,4.0,3.091943590904758
VST-CA,mixed,uniform,900,8,False,3,32,16,0.1,1,9388.138727982965,0.21072128590341316,0.002081683796648108,2.125,3.5,2,153.9483594190997,0.5,4.0,3.080166420099142
