Algorithm,Strategy,POIs dist,Net size,Cap,Merge cells,Sample,Num queries,Num users query,Prop POIs,Total.POIs,Cost,WARL,MWRL,MRL1,MRL2,Num it,Elapsed time,Alpha,Beta,Entropy
VST-CA,mixed,Melbourne,47,1,False,15,2,10,N/A,2,11.007048953906418,0.9150554493918701,0.07426806473820768,2.0,4.0,2,3.367241145863545,1.0,4.0,2.0764122803517138
VST-CA,pure,Melbourne,47,1,False,15,2,10,N/A,2,11.007048953906418,0.9150554493918701,0.07426806473820768,2.0,4.0,2,3.529075484426926,1.0,4.0,2.0764122803517138
VST-NCA,N/A,Melbourne,167,1,False,16,1,10,N/A,1,2.072743671231539,0.20378451265938674,0.018930417050728354,3.0,3.0,0,0.2125758560837312,1.0,4.0,0.8307645505868508
VST-CA,mixed,Melbourne,167,1,False,16,1,10,N/A,1,2.072743671231539,0.20378451265938674,0.018930417050728354,3.0,3.0,2,1.2660486465809981,1.0,4.0,0.8307645505868508
VST-CA,pure,Melbourne,167,1,False,16,1,10,N/A,1,2.072743671231539,0.20378451265938674,0.018930417050728354,3.0,3.0,2,1.082368466448827,1.0,4.0,0.8307645505868508
VST-NCA,N/A,Melbourne,128,1,False,17,3,10,N/A,3,91.10599730078064,0.8866065020852784,0.08173154673275876,2.0,6.0,0,3.3268953609413074,1.0,4.0,1.9893799457739743
VST-CA,mixed,Melbourne,128,1,False,17,3,10,N/A,3,91.10599730078064,0.8866065020852784,0.08173154673275876,2.0,6.0,2,3.989827695715917,1.0,4.0,1.9893799457739743
VST-CA,pure,Melbourne,128,1,False,17,3,10,N/A,3,91.10599730078064,0.8866065020852784,0.08173154673275876,2.0,6.0,2,4.376334204545856,1.0,4.0,1.9893799457739743
VST-NCA,N/A,Melbourne,296,1,False,18,3,10,N/A,4,212.44447922253508,0.6869043499183182,0.08530566789070575,6.0,6.0,0,4.389704375918484,1.0,4.0,1.5531911865696757
VST-CA,mixed,Melbourne,296,1,False,18,3,10,N/A,4,212.44447922253508,0.6869043499183182,0.08530566789070575,6.0,6.0,2,5.841968285021892,1.0,4.0,1.5531911865696757
VST-CA,pure,Melbourne,296,1,False,18,3,10,N/A,4,212.44447922253508,0.6869043499183182,0.08530566789070575,6.0,6.0,2,6.349780973144789,1.0,4.0,1.5531911865696757
VST-NCA,N/A,Melbourne,231,1,False,19,3,10,N/A,4,23.628409243104098,0.4257272281712069,0.028659132843659337,2.0,4.0,0,5.27352717910702,1.0,4.0,1.494465971734665
VST-CA,mixed,Melbourne,231,1,False,19,3,10,N/A,4,7.03971041392698,0.5007138931404469,0.014329566421829669,1.0,4.0,3,6.08529119301636,1.0,4.0,1.486451207372308
VST-CA,pure,Melbourne,231,1,False,19,3,10,N/A,4,7.03971041392698,0.5007138931404469,0.014329566421829669,1.0,4.0,3,7.809893689965975,1.0,4.0,1.486451207372308
VST-NCA,N/A,Melbourne,227,1,False,20,2,10,N/A,2,51.83360495530117,0.33577601049799344,0.012796200805494647,5.0,5.0,0,3.292603456980771,1.0,4.0,1.2937491093262616
VST-CA,mixed,Melbourne,227,1,False,20,2,10,N/A,2,19.02588900720888,0.39587090538572023,0.017501401712628425,4.0,4.0,3,5.203165813415239,1.0,4.0,1.3462227195538001
VST-CA,pure,Melbourne,227,1,False,20,2,10,N/A,2,19.02588900720888,0.39587090538572023,0.017501401712628425,4.0,4.0,3,5.5819158859505364,1.0,4.0,1.3462227195538001
VST-NCA,N/A,Melbourne,384,1,False,21,1,10,N/A,1,1.6207794845669898,0.17955920511979867,0.012960837893172983,2.0,3.0,0,1.4445465530261572,1.0,4.0,0.7873286018024204
VST-CA,mixed,Melbourne,384,1,False,21,1,10,N/A,1,1.6207794845669898,0.17955920511979867,0.012960837893172983,2.0,3.0,2,4.958356278158021,1.0,4.0,0.7873286018024204
VST-CA,pure,Melbourne,384,1,False,21,1,10,N/A,1,1.6207794845669898,0.17955920511979867,0.012960837893172983,2.0,3.0,2,5.079521531818216,1.0,4.0,0.7873286018024204
VST-NCA,N/A,Melbourne,568,2,False,22,4,10,N/A,14,6.031664111042616,0.1596609359629086,0.007782064985116155,1.5,3.5,0,5.239814372914452,1.0,4.0,1.1985012872014582
