Algorithm,Strategy,POIs dist,Net size,Cap,Merge cells,Sample,Num queries,Num users,Prop POIs,Num POIs,Cost,WARL,MWRL,MRL1,MRL2,Num it,Elapsed time,Alpha,Beta,Entropy
VST-NCA,N/A,zipfian,900,2,False,0,8,8,0.1,1,509.10345190066363,0.11013205303201419,0.0014895995320176,2.0,2.5,0,9.848503365833075,0.5,4.0,1.1856781294253853
VST-NCA,N/A,uniform,900,2,False,0,8,8,0.1,1,456.28501120378456,0.1152078482351403,0.001643774608151057,2.0,2.5,0,11.816459166501858,0.5,4.0,1.228611097806325
VST-CA,mixed,zipfian,900,2,False,0,8,8,0.1,1,509.10345190066363,0.11013205303201419,0.0014895995320176,2.0,2.5,2,15.651039316672527,0.5,4.0,1.1856781294253853
VST-CA,mixed,uniform,900,2,False,0,8,8,0.1,1,456.28501120378456,0.1152078482351403,0.001643774608151057,2.0,2.5,2,21.093749099477314,0.5,4.0,1.228611097806325
VST-CA,pure,zipfian,900,2,False,0,8,8,0.1,1,509.10345190066363,0.11013205303201419,0.0014895995320176,2.0,2.5,2,18.77111308749113,0.5,4.0,1.1856781294253853
VST-CA,pure,uniform,900,2,False,0,8,8,0.1,1,456.28501120378456,0.1152078482351403,0.001643774608151057,2.0,2.5,2,26.293324664630546,0.5,4.0,1.228611097806325
VST-NCA,N/A,zipfian,900,2,False,1,8,8,0.1,1,539.6415229061646,0.104553903795717,0.0014895995320176,2.0,3.0,0,9.098610441681458,0.5,4.0,1.1374512577231415
VST-NCA,N/A,uniform,900,2,False,1,8,8,0.1,1,660.5585860192738,0.1088197445050624,0.001643774608151057,2.0,2.5,0,12.365282003244047,0.5,4.0,1.1581285383895858
VST-CA,mixed,zipfian,900,2,False,1,8,8,0.1,1,539.6415229061646,0.104553903795717,0.0014895995320176,2.0,3.0,2,16.067175341093332,0.5,4.0,1.1374512577231415
VST-CA,mixed,uniform,900,2,False,1,8,8,0.1,1,660.5585860192738,0.1088197445050624,0.001643774608151057,2.0,2.5,2,21.58702355194967,0.5,4.0,1.1581285383895858
VST-CA,pure,zipfian,900,2,False,1,8,8,0.1,1,539.6415229061646,0.104553903795717,0.0014895995320176,2.0,3.0,2,28.375708526316572,0.5,4.0,1.1374512577231415
VST-CA,pure,uniform,900,2,False,1,8,8,0.1,1,660.5585860192738,0.1088197445050624,0.001643774608151057,2.0,2.5,2,22.133200381643974,0.5,4.0,1.1581285383895858
