VST-NCA,N/A,Quito,369,2,False,0,5,5,N/A,35,0.9297084957377199,0.130123353754357,0.0048958103597969245,2.0,2.0,0,2.7156073361857946,1.0,4.0,0.9956857691603109
VST-CA,mixed,Quito,369,2,False,0,5,5,N/A,35,0.9297084957377199,0.130123353754357,0.0048958103597969245,2.0,2.0,2,2.790132521412209,1.0,4.0,0.9956857691603109
VST-CA,pure,Quito,369,2,False,0,5,5,N/A,35,0.6033247385814849,0.12864570232950387,0.003671857769847693,1.5,1.5,3,2.967780137064981,1.0,4.0,0.9774871458047962
VST-NCA,N/A,Quito,250,2,False,1,4,5,N/A,16,0.803479038677358,0.18670154754370158,0.007925382461733526,1.0,2.0,0,2.7237253631795646,1.0,4.0,1.1254482096103426
VST-CA,mixed,Quito,250,2,False,1,4,5,N/A,16,0.8136270110037834,0.19465658664149366,0.007427363393134126,1.0,1.5,3,2.979920268461356,1.0,4.0,1.168529149140246
VST-CA,pure,Quito,250,2,False,1,4,5,N/A,16,0.8136270110037834,0.19465658664149366,0.007427363393134126,1.0,1.5,3,2.995786047257063,1.0,4.0,1.168529149140246
VST-NCA,N/A,Quito,271,2,False,2,5,5,N/A,12,1.7740917259977644,0.12521028178961185,0.004684819454495684,1.5,2.0,0,2.8033834783841023,1.0,4.0,1.2023550076516474
VST-CA,mixed,Quito,271,2,False,2,5,5,N/A,12,1.7740917259977644,0.12521028178961185,0.004684819454495684,1.5,2.0,2,3.0105291579871043,1.0,4.0,1.2023550076516474
VST-CA,pure,Quito,271,2,False,2,5,5,N/A,12,1.7740917259977644,0.12521028178961185,0.004684819454495684,1.5,2.0,2,3.158324224484666,1.0,4.0,1.2023550076516474
VST-NCA,N/A,Quito,430,2,False,3,4,5,N/A,8,0.8946936739035855,0.1404117387051676,0.006432909857452534,0.5,2.0,0,2.9575813845528884,1.0,4.0,1.1263568451903472
VST-CA,mixed,Quito,430,2,False,3,4,5,N/A,8,0.6005943170265559,0.13063320327341765,0.006432909857452534,0.5,1.5,3,3.4286618262461985,1.0,4.0,1.0583490789875172
VST-CA,pure,Quito,430,2,False,3,4,5,N/A,8,0.6005943170265559,0.13063320327341765,0.006432909857452534,0.5,1.5,3,4.144166527517406,1.0,4.0,1.0583490789875172
VST-NCA,N/A,Quito,286,1,False,4,2,5,N/A,4,1.596412409465262,0.18270816114598387,0.011618076405471578,2.0,3.0,0,2.6504448236673,1.0,4.0,0.7941728219231677
VST-CA,mixed,Quito,286,1,False,4,2,5,N/A,4,1.596412409465262,0.18270816114598387,0.011618076405471578,2.0,3.0,2,3.8642921684428444,1.0,4.0,0.7941728219231677
VST-CA,pure,Quito,286,1,False,4,2,5,N/A,4,1.596412409465262,0.18270816114598387,0.011618076405471578,2.0,3.0,2,2.8400494068688857,1.0,4.0,0.7941728219231677
VST-NCA,N/A,Quito,127,1,False,5,2,5,N/A,2,1.3357682846119947,0.320798218020836,0.0272822930912012,1.0,2.0,0,2.595801205644449,1.0,4.0,1.1389057093433372
VST-CA,mixed,Quito,127,1,False,5,2,5,N/A,2,1.3357682846119947,0.320798218020836,0.0272822930912012,1.0,2.0,2,2.623341705973857,1.0,4.0,1.1389057093433372
VST-CA,pure,Quito,127,1,False,5,2,5,N/A,2,1.3357682846119947,0.320798218020836,0.0272822930912012,1.0,2.0,2,2.618204433749355,1.0,4.0,1.1389057093433372
VST-NCA,N/A,Quito,190,1,False,6,1,5,N/A,1,0.429088597372492,0.13196262208521894,0.015031309452528157,1.0,2.0,0,0.05963088537220074,1.0,4.0,0.6631160726595278
VST-CA,mixed,Quito,190,1,False,6,1,5,N/A,1,0.2819782007663755,0.1835982042205777,0.015031309452528157,1.0,1.0,4,0.2923006839827451,1.0,4.0,0.7283846722688454
VST-CA,pure,Quito,190,1,False,6,1,5,N/A,1,0.2819782007663755,0.1835982042205777,0.015031309452528157,1.0,1.0,4,0.29137302225480255,1.0,4.0,0.7283846722688454
VST-NCA,N/A,Quito,57,1,False,7,1,5,N/A,1,0.37637765233011916,0.3266171697824747,0.048796031455769565,1.0,2.0,0,0.024976206463549033,1.0,4.0,0.9992889743797904
VST-CA,mixed,Quito,57,1,False,7,1,5,N/A,1,0.37637765233011916,0.3266171697824747,0.048796031455769565,1.0,2.0,2,0.05450782413586808,1.0,4.0,0.9992889743797904
VST-CA,pure,Quito,57,1,False,7,1,5,N/A,1,0.37637765233011916,0.3266171697824747,0.048796031455769565,1.0,2.0,2,0.05398004382510635,1.0,4.0,0.9992889743797904
VST-NCA,N/A,Quito,341,3,False,8,8,5,N/A,76,0.7390227167558696,0.12941271823016326,0.0085213487340984,0.6666666666666666,1.3333333333333333,0,2.9654866414737313,1.0,4.0,1.2720441039879842
VST-CA,mixed,Quito,341,3,False,8,8,5,N/A,76,0.6699561630403397,0.12195493283957211,0.0085213487340984,0.6666666666666666,1.3333333333333333,3,3.3889571147904434,1.0,4.0,1.2598218182661747
VST-CA,pure,Quito,341,3,False,8,8,5,N/A,76,0.6699561630403397,0.12195493283957211,0.0085213487340984,0.6666666666666666,1.3333333333333333,3,3.7700871330949752,1.0,4.0,1.2598218182661747
VST-NCA,N/A,Quito,85,1,False,9,1,5,N/A,1,0.16716008113585712,0.15265330938954774,0.01755971051731468,1.0,1.0,0,0.010441523560047017,1.0,4.0,0.7101234912653349
VST-CA,mixed,Quito,85,1,False,9,1,5,N/A,1,0.16716008113585712,0.15265330938954774,0.01755971051731468,1.0,1.0,2,0.02763602974991386,1.0,4.0,0.7101234912653349
