Algorithm,Strategy,POIs dist,Net size,Cap,Merge cells,Sample,Num queries,Num users query,Prop POIs,Num POIs query,Cost,WARL,MWRL,MRL1,MRL2,Num it,Elapsed time,Alpha,Beta,Entropy
VST-NCA,N/A,uniform,900,1,False,3,4,4,0.1,1,418.26323661736524,0.07910287786546759,0.001643774608151057,2.0,2.0,0,2.1805488487948566,1.0,4.0,0.6388626937457192
VST-CA,mixed,zipfian,900,1,False,3,4,4,0.1,1,444.213794950817,0.07484738964712308,0.0018774137442618129,2.0,2.0,2,2.8807177308735064,1.0,4.0,0.5866464406063036
VST-CA,mixed,uniform,900,1,False,3,4,4,0.1,1,312.0221841726579,0.08361388387511502,0.001643774608151057,2.0,2.0,3,3.4507796748288726,1.0,4.0,0.6355606122875284
VST-CA,pure,zipfian,900,1,False,3,4,4,0.1,1,322.65576488331743,0.07813871004692638,0.0018774137442618129,2.0,2.0,3,3.6839554841004016,1.0,4.0,0.597944056125833
VST-CA,pure,uniform,900,1,False,3,4,4,0.1,1,312.0221841726579,0.08361388387511502,0.001643774608151057,2.0,2.0,3,3.8255885856036116,1.0,4.0,0.6355606122875284
VST-NCA,N/A,zipfian,900,1,False,4,4,4,0.1,1,347.27229262981996,0.06974880943061562,0.001844657714592255,2.0,3.0,0,1.7841234424848977,1.0,4.0,0.5590282069983511
VST-NCA,N/A,uniform,900,1,False,4,4,4,0.1,1,338.17363159362014,0.07396665191965361,0.0016626605845633628,2.0,3.0,0,1.9106274602978317,1.0,4.0,0.6096408572404485
VST-CA,mixed,zipfian,900,1,False,4,4,4,0.1,1,347.27229262981996,0.06974880943061562,0.001844657714592255,2.0,3.0,2,2.224440741685342,1.0,4.0,0.5590282069983511
VST-CA,mixed,uniform,900,1,False,4,4,4,0.1,1,338.17363159362014,0.07396665191965361,0.0016626605845633628,2.0,3.0,2,2.492209409672199,1.0,4.0,0.6096408572404485
VST-CA,pure,zipfian,900,1,False,4,4,4,0.1,1,347.27229262981996,0.06974880943061562,0.001844657714592255,2.0,3.0,2,2.2680935004261897,1.0,4.0,0.5590282069983511
VST-CA,pure,uniform,900,1,False,4,4,4,0.1,1,338.17363159362014,0.07396665191965361,0.0016626605845633628,2.0,3.0,2,2.58522027796009,1.0,4.0,0.6096408572404485
VST-NCA,N/A,zipfian,900,2,False,0,4,8,0.1,1,150.29098457040706,0.05697294467689861,0.0008031210887164999,1.0,1.5,0,7.5117014086848855,1.0,4.0,0.7881710929577566
VST-NCA,N/A,uniform,900,2,False,0,4,8,0.1,1,256.4474881534183,0.05722423166658334,0.0010630212022187835,1.5,2.0,0,8.752288837104999,1.0,4.0,0.8036028057943014
VST-CA,mixed,zipfian,900,2,False,0,4,8,0.1,1,150.29098457040706,0.05697294467689861,0.0008031210887164999,1.0,1.5,2,13.962637598354178,1.0,4.0,0.7881710929577566
VST-CA,mixed,uniform,900,2,False,0,4,8,0.1,1,256.4474881534183,0.05722423166658334,0.0010630212022187835,1.5,2.0,2,12.342563261502434,1.0,4.0,0.8036028057943014
VST-CA,pure,zipfian,900,2,False,0,4,8,0.1,1,150.29098457040706,0.05697294467689861,0.0008031210887164999,1.0,1.5,2,15.598766252526673,1.0,4.0,0.7881710929577566
VST-CA,pure,uniform,900,2,False,0,4,8,0.1,1,256.4474881534183,0.05722423166658334,0.0010630212022187835,1.5,2.0,2,17.723302801820893,1.0,4.0,0.8036028057943014
VST-NCA,N/A,zipfian,900,2,False,1,4,8,0.1,1,164.81523537558633,0.06173901129903061,0.0010325205606716852,1.0,2.0,0,9.458390914544452,1.0,4.0,0.8336078428089809
VST-NCA,N/A,uniform,900,2,False,1,4,8,0.1,1,236.10480050863387,0.06088727601932935,0.0011282822753446993,2.0,2.0,0,6.657988389164643,1.0,4.0,0.8477252007771472
VST-CA,mixed,zipfian,900,2,False,1,4,8,0.1,1,150.5621197180278,0.06190817958647269,0.0007457993043086374,1.0,1.5,3,16.599983476138163,1.0,4.0,0.8331479019068477
VST-CA,mixed,uniform,900,2,False,1,4,8,0.1,1,236.10480050863387,0.06088727601932935,0.0011282822753446993,2.0,2.0,2,12.60539940278042,1.0,4.0,0.8477252007771472
VST-CA,pure,zipfian,900,2,False,1,4,8,0.1,1,150.5621197180278,0.06190817958647269,0.0007457993043086374,1.0,1.5,3,22.727834034742187,1.0,4.0,0.8331479019068477
