Algorithm,Strategy,POIs dist,Net size,Cap,Merge cells,Sample,Num queries,Num users,Prop POIs,Num POIs,Cost,WARL,MWRL,MRL1,MRL2,Num it,Elapsed time,Alpha,Beta,Entropy
VST-NCA,N/A,zipfian,900,1,False,0,4,8,0.1,1,908.1411128165777,0.11394588935379722,0.0016062421774329998,2.0,3.0,0,7.502352084495435,1.0,4.0,0.7881710929577566
VST-NCA,N/A,uniform,900,1,False,0,4,8,0.1,1,2600.044586988749,0.11444846333316668,0.002126042404437567,3.0,4.0,0,8.969720792919578,1.0,4.0,0.8036028057943014
VST-CA,mixed,zipfian,900,1,False,0,4,8,0.1,1,908.1411128165777,0.11394588935379722,0.0016062421774329998,2.0,3.0,2,15.437426649704904,1.0,4.0,0.7881710929577566
VST-CA,mixed,uniform,900,1,False,0,4,8,0.1,1,2600.044586988749,0.11444846333316668,0.002126042404437567,3.0,4.0,2,13.966140964962744,1.0,4.0,0.8036028057943014
VST-CA,pure,zipfian,900,1,False,0,4,8,0.1,1,908.1411128165777,0.11394588935379722,0.0016062421774329998,2.0,3.0,2,17.26464658179286,1.0,4.0,0.7881710929577566
VST-CA,pure,uniform,900,1,False,0,4,8,0.1,1,1181.061682121012,0.12912341646327594,0.002126042404437567,3.0,3.0,3,24.864962074658088,1.0,4.0,0.8272737538695749
VST-NCA,N/A,zipfian,900,1,False,1,4,8,0.1,1,1015.3383265023494,0.12347802259806122,0.0020650411213433703,2.0,4.0,0,8.335075694168978,1.0,4.0,0.8336078428089809
VST-NCA,N/A,uniform,900,1,False,1,4,8,0.1,1,2178.343993443993,0.1217745520386587,0.0022565645506893986,4.0,4.0,0,5.41731167031098,1.0,4.0,0.8477252007771473
VST-CA,mixed,zipfian,900,1,False,1,4,8,0.1,1,662.6668550727723,0.12813779852004023,0.0013031569025463133,3.0,3.0,3,18.993760959246103,1.0,4.0,0.8324467937424811
VST-CA,mixed,uniform,900,1,False,1,4,8,0.1,1,698.4759466193817,0.13268883594124026,0.0015979870879954062,2.0,3.0,3,17.181139499881198,1.0,4.0,0.8555106972952392
VST-CA,pure,zipfian,900,1,False,1,4,8,0.1,1,662.6668550727723,0.12813779852004023,0.0013031569025463133,3.0,3.0,3,24.187118366785597,1.0,4.0,0.8324467937424811
VST-CA,pure,uniform,900,1,False,1,4,8,0.1,1,698.4759466193817,0.13268883594124026,0.0015979870879954062,2.0,3.0,3,23.460417396855433,1.0,4.0,0.8555106972952392
VST-NCA,N/A,zipfian,900,1,False,2,4,8,0.1,1,4244.651857225195,0.12260124864090186,0.0030462199264105244,3.0,5.0,0,12.479781105015292,1.0,4.0,0.824429728035252
VST-NCA,N/A,uniform,900,1,False,2,4,8,0.1,1,890.528955494226,0.11564796836130334,0.002030813284273683,2.0,4.0,0,7.257277555207423,1.0,4.0,0.8119837655647123
VST-CA,mixed,zipfian,900,1,False,2,4,8,0.1,1,1057.61749424071,0.14437868240014076,0.002016876191215825,3.0,3.0,3,25.00366706573675,1.0,4.0,0.8642820887444116
