Algorithm,Strategy,POIs dist,Net size,Cap,Merge cells,Sample,Num queries,Num users,Prop POIs,Num POIs,Cost,WARL,MWRL,MRL1,MRL2,Num it,Elapsed time,Alpha,Beta,Entropy
VST-NCA,N/A,zipfian,900,1,False,0,4,4,0.1,1,361.06459088922674,0.07257081306797607,0.002030813284273683,2.0,4.0,0,1.96578944802604,0.5,4.0,0.574207244347985
VST-NCA,N/A,uniform,900,1,False,0,4,4,0.1,1,190.55581521964083,0.07633077132307228,0.0020650411213433703,2.0,3.0,0,1.953259023850296,0.5,4.0,0.6258149698140577
VST-CA,mixed,zipfian,900,1,False,0,4,4,0.1,1,361.06459088922674,0.07257081306797607,0.002030813284273683,2.0,4.0,2,2.4074091559642166,0.5,4.0,0.574207244347985
VST-CA,mixed,uniform,900,1,False,0,4,4,0.1,1,190.55581521964083,0.07633077132307228,0.0020650411213433703,2.0,3.0,2,2.36614722555636,0.5,4.0,0.6258149698140577
VST-CA,pure,zipfian,900,1,False,0,4,4,0.1,1,361.06459088922674,0.07257081306797607,0.002030813284273683,2.0,4.0,2,2.512928895564576,0.5,4.0,0.574207244347985
VST-CA,pure,uniform,900,1,False,0,4,4,0.1,1,190.55581521964083,0.07633077132307228,0.0020650411213433703,2.0,3.0,2,2.4217674682108097,0.5,4.0,0.6258149698140577
VST-NCA,N/A,zipfian,900,1,False,1,4,4,0.1,1,602.2123061597109,0.06932255523756443,0.00266807364701277,3.0,3.0,0,1.8422561332008005,0.5,4.0,0.5589370501320211
VST-NCA,N/A,uniform,900,1,False,1,4,4,0.1,1,227.5486695482415,0.076164091010401,0.00177871576467518,2.0,2.0,0,2.0526202893523227,0.5,4.0,0.6310452725441776
VST-CA,mixed,zipfian,900,1,False,1,4,4,0.1,1,602.2123061597109,0.06932255523756443,0.00266807364701277,3.0,3.0,2,2.6617611665641228,0.5,4.0,0.5589370501320211
VST-CA,mixed,uniform,900,1,False,1,4,4,0.1,1,227.5486695482415,0.076164091010401,0.00177871576467518,2.0,2.0,2,2.657787742270859,0.5,4.0,0.6310452725441776
VST-CA,pure,zipfian,900,1,False,1,4,4,0.1,1,602.2123061597109,0.06932255523756443,0.00266807364701277,3.0,3.0,2,2.6884738879364,0.5,4.0,0.5589370501320211
VST-CA,pure,uniform,900,1,False,1,4,4,0.1,1,227.5486695482415,0.076164091010401,0.00177871576467518,2.0,2.0,2,2.7359358586789,0.5,4.0,0.6310452725441776
VST-NCA,N/A,zipfian,900,1,False,2,4,4,0.1,1,284.87049470056,0.06973486376080755,0.001643774608151057,2.0,3.0,0,2.199517934291478,0.5,4.0,0.5714392778934319
VST-NCA,N/A,uniform,900,1,False,2,4,4,0.1,1,210.624653269806,0.0625662217281542,0.001643774608151057,2.0,3.0,0,1.8241625044837697,0.5,4.0,0.5554951532286705
VST-CA,mixed,zipfian,900,1,False,2,4,4,0.1,1,284.87049470056,0.06973486376080755,0.001643774608151057,2.0,3.0,2,2.896507255874056,0.5,4.0,0.5714392778934319
VST-CA,mixed,uniform,900,1,False,2,4,4,0.1,1,210.624653269806,0.0625662217281542,0.001643774608151057,2.0,3.0,2,2.3989065514033214,0.5,4.0,0.5554951532286705
VST-CA,pure,zipfian,900,1,False,2,4,4,0.1,1,284.87049470056,0.06973486376080755,0.001643774608151057,2.0,3.0,2,2.896462097493867,0.5,4.0,0.5714392778934319
VST-CA,pure,uniform,900,1,False,2,4,4,0.1,1,210.624653269806,0.0625662217281542,0.001643774608151057,2.0,3.0,2,2.4009345732045517,0.5,4.0,0.5554951532286705
VST-NCA,N/A,zipfian,900,1,False,3,4,4,0.1,1,254.87397520301178,0.07484738964712308,0.0018774137442618129,2.0,2.0,0,2.0733120644204845,0.5,4.0,0.5866464406063036
VST-NCA,N/A,uniform,900,1,False,3,4,4,0.1,1,243.76168569934273,0.07910287786546759,0.001643774608151057,2.0,2.0,0,2.1279547307765156,0.5,4.0,0.6388626937457192
VST-CA,mixed,zipfian,900,1,False,3,4,4,0.1,1,254.87397520301178,0.07484738964712308,0.0018774137442618129,2.0,2.0,2,2.795417656002961,0.5,4.0,0.5866464406063036
VST-CA,mixed,uniform,900,1,False,3,4,4,0.1,1,191.99583777795044,0.0828644570751298,0.001643774608151057,2.0,2.0,3,3.5284423386498815,0.5,4.0,0.6487939246764491
VST-CA,pure,zipfian,900,1,False,3,4,4,0.1,1,194.54172169221928,0.0773817712459625,0.0018774137442618129,2.0,2.0,3,3.6429845173467186,0.5,4.0,0.5961711386292007
VST-CA,pure,uniform,900,1,False,3,4,4,0.1,1,191.99583777795044,0.0828644570751298,0.001643774608151057,2.0,2.0,3,4.02452818473062,0.5,4.0,0.6487939246764491
VST-NCA,N/A,zipfian,900,1,False,4,4,4,0.1,1,204.17114119977978,0.06974880943061562,0.001844657714592255,2.0,3.0,0,1.754699678811015,0.5,4.0,0.5590282069983511
VST-NCA,N/A,uniform,900,1,False,4,4,4,0.1,1,201.46831960246757,0.07396665191965361,0.0016626605845633628,2.0,3.0,0,1.850341535908349,0.5,4.0,0.6096408572404485
VST-CA,mixed,zipfian,900,1,False,4,4,4,0.1,1,175.11678224602383,0.07071133424246424,0.001844657714592255,2.0,2.0,3,2.436367480424096,0.5,4.0,0.5467089383651582
VST-CA,mixed,uniform,900,1,False,4,4,4,0.1,1,201.46831960246757,0.07396665191965361,0.0016626605845633628,2.0,3.0,2,2.453036054348104,0.5,4.0,0.6096408572404485
VST-CA,pure,zipfian,900,1,False,4,4,4,0.1,1,175.11678224602383,0.07071133424246424,0.001844657714592255,2.0,2.0,3,2.750037589219872,0.5,4.0,0.5467089383651582
VST-CA,pure,uniform,900,1,False,4,4,4,0.1,1,201.46831960246757,0.07396665191965361,0.0016626605845633628,2.0,3.0,2,2.470314266404671,0.5,4.0,0.6096408572404485
VST-NCA,N/A,zipfian,900,2,False,0,4,8,0.1,1,125.02931362886812,0.05697294467689861,0.0008031210887164999,1.0,1.5,0,7.479861671670861,0.5,4.0,0.7881710929577566
VST-NCA,N/A,uniform,900,2,False,0,4,8,0.1,1,178.32758485890741,0.05722423166658334,0.0010630212022187835,1.5,2.0,0,7.496354743708238,0.5,4.0,0.8036028057943014
VST-CA,mixed,zipfian,900,2,False,0,4,8,0.1,1,125.02931362886812,0.05697294467689861,0.0008031210887164999,1.0,1.5,2,13.344400386514678,0.5,4.0,0.7881710929577566
VST-CA,mixed,uniform,900,2,False,0,4,8,0.1,1,178.32758485890741,0.05722423166658334,0.0010630212022187835,1.5,2.0,2,11.424923423189966,0.5,4.0,0.8036028057943014
VST-CA,pure,zipfian,900,2,False,0,4,8,0.1,1,125.02931362886812,0.05697294467689861,0.0008031210887164999,1.0,1.5,2,15.11049896417964,0.5,4.0,0.7881710929577566
VST-CA,pure,uniform,900,2,False,0,4,8,0.1,1,178.32758485890741,0.05722423166658334,0.0010630212022187835,1.5,2.0,2,17.12806044243922,0.5,4.0,0.8036028057943014
VST-NCA,N/A,zipfian,900,2,False,1,4,8,0.1,1,136.46446567136113,0.06173901129903061,0.0010325205606716852,1.0,2.0,0,8.237861504379595,0.5,4.0,0.8336078428089809
VST-NCA,N/A,uniform,900,2,False,1,4,8,0.1,1,171.36349407745533,0.06088727601932935,0.0011282822753446993,2.0,2.0,0,5.831220554042005,0.5,4.0,0.8477252007771472
VST-CA,mixed,zipfian,900,2,False,1,4,8,0.1,1,130.6437520878413,0.061710690231928926,0.0007457993043086374,1.0,1.5,3,16.818494614606607,0.5,4.0,0.8351900302106304
VST-CA,mixed,uniform,900,2,False,1,4,8,0.1,1,171.36349407745533,0.06088727601932935,0.0011282822753446993,2.0,2.0,2,12.932635499515811,0.5,4.0,0.8477252007771472
VST-CA,pure,zipfian,900,2,False,1,4,8,0.1,1,130.6437520878413,0.061710690231928926,0.0007457993043086374,1.0,1.5,3,26.381598062705507,0.5,4.0,0.8351900302106304
VST-CA,pure,uniform,900,2,False,1,4,8,0.1,1,171.36349407745533,0.06088727601932935,0.0011282822753446993,2.0,2.0,2,12.69065329294395,0.5,4.0,0.8477252007771472
VST-NCA,N/A,zipfian,900,2,False,2,4,8,0.1,1,236.63682613746158,0.06130062432045093,0.0015231099632052622,1.5,2.5,0,12.76189884830734,0.5,4.0,0.824429728035252
VST-NCA,N/A,uniform,900,2,False,2,4,8,0.1,1,125.9226520718396,0.05782398418065167,0.0010154066421368415,1.0,2.0,0,6.385010599390256,0.5,4.0,0.8119837655647124
VST-CA,mixed,zipfian,900,2,False,2,4,8,0.1,1,236.63682613746158,0.06130062432045093,0.0015231099632052622,1.5,2.5,2,22.599341508710665,0.5,4.0,0.824429728035252
VST-CA,mixed,uniform,900,2,False,2,4,8,0.1,1,116.12267203376723,0.057833374259548376,0.0010154066421368415,1.0,1.5,3,15.309904515684082,0.5,4.0,0.8124332842755172
VST-CA,pure,zipfian,900,2,False,2,4,8,0.1,1,236.63682613746158,0.06130062432045093,0.0015231099632052622,1.5,2.5,2,23.07404948024248,0.5,4.0,0.824429728035252
VST-CA,pure,uniform,900,2,False,2,4,8,0.1,1,116.12267203376723,0.057833374259548376,0.0010154066421368415,1.0,1.5,3,20.019109179107886,0.5,4.0,0.8124332842755172
VST-NCA,N/A,zipfian,900,2,False,3,4,8,0.1,1,141.61262529688983,0.06177609773249222,0.0010154066421368415,1.0,2.0,0,7.967050803690881,0.5,4.0,0.8511689347827869
VST-NCA,N/A,uniform,900,2,False,3,4,8,0.1,1,192.57622449933535,0.06454403657215953,0.0010630212022187835,1.5,2.5,0,10.009550997410088,0.5,4.0,0.8985640750335848
VST-CA,mixed,zipfian,900,2,False,3,4,8,0.1,1,141.61262529688983,0.06177609773249222,0.0010154066421368415,1.0,2.0,2,16.43129845224786,0.5,4.0,0.8511689347827869
VST-CA,mixed,uniform,900,2,False,3,4,8,0.1,1,192.57622449933535,0.06454403657215953,0.0010630212022187835,1.5,2.5,2,15.945124870618656,0.5,4.0,0.8985640750335848
VST-CA,pure,zipfian,900,2,False,3,4,8,0.1,1,141.61262529688983,0.06177609773249222,0.0010154066421368415,1.0,2.0,2,18.283556653497214,0.5,4.0,0.8511689347827869
VST-CA,pure,uniform,900,2,False,3,4,8,0.1,1,192.57622449933535,0.06454403657215953,0.0010630212022187835,1.5,2.5,2,18.56675922424057,0.5,4.0,0.8985640750335848
VST-NCA,N/A,zipfian,900,2,False,4,4,8,0.1,1,134.96129368472674,0.06522128884035854,0.000702136479701966,1.0,1.5,0,9.383689716769709,0.5,4.0,0.8430789879911473
VST-NCA,N/A,uniform,900,2,False,4,4,8,0.1,1,200.62056281623197,0.06132235264872262,0.0013050315123227325,2.5,2.5,0,7.944579891075932,0.5,4.0,0.8482010129159407
VST-CA,mixed,zipfian,900,2,False,4,4,8,0.1,1,134.96129368472674,0.06522128884035854,0.000702136479701966,1.0,1.5,2,16.880463714984955,0.5,4.0,0.8430789879911473
VST-CA,mixed,uniform,900,2,False,4,4,8,0.1,1,200.62056281623197,0.06132235264872262,0.0013050315123227325,2.5,2.5,2,13.562747312691556,0.5,4.0,0.8482010129159407
VST-CA,pure,zipfian,900,2,False,4,4,8,0.1,1,134.96129368472674,0.06522128884035854,0.000702136479701966,1.0,1.5,2,17.118027071422603,0.5,4.0,0.8430789879911473
VST-CA,pure,uniform,900,2,False,4,4,8,0.1,1,200.62056281623197,0.06132235264872262,0.0013050315123227325,2.5,2.5,2,13.342457036676308,0.5,4.0,0.8482010129159407
VST-NCA,N/A,zipfian,900,4,False,0,4,16,0.1,1,224.9449706604439,0.05832610070290902,0.0008218873040755285,1.0,1.5,0,20.648631880687446,0.5,4.0,1.2193953190264115
VST-NCA,N/A,uniform,900,4,False,0,4,16,0.1,1,220.23001293474542,0.055273337002931855,0.0010122597938106808,1.0,1.5,0,18.378587332971733,0.5,4.0,1.1661067404625103
VST-CA,mixed,zipfian,900,4,False,0,4,16,0.1,1,224.9449706604439,0.05832610070290902,0.0008218873040755285,1.0,1.5,2,38.25561644524521,0.5,4.0,1.2193953190264115
VST-CA,mixed,uniform,900,4,False,0,4,16,0.1,1,220.23001293474542,0.055273337002931855,0.0010122597938106808,1.0,1.5,2,36.238162218138655,0.5,4.0,1.1661067404625103
VST-CA,pure,zipfian,900,4,False,0,4,16,0.1,1,224.9449706604439,0.05832610070290902,0.0008218873040755285,1.0,1.5,2,40.45001865349002,0.5,4.0,1.2193953190264115
VST-CA,pure,uniform,900,4,False,0,4,16,0.1,1,220.23001293474542,0.055273337002931855,0.0010122597938106808,1.0,1.5,2,33.19775367848365,0.5,4.0,1.1661067404625103
VST-NCA,N/A,zipfian,900,4,False,1,4,16,0.1,1,261.1675925707342,0.05558320908147966,0.0010154066421368415,1.0,1.75,0,20.467036178533704,0.5,4.0,1.1800168415589911
VST-NCA,N/A,uniform,900,4,False,1,4,16,0.1,1,203.79220646970165,0.054210505163669646,0.0009135364529602565,1.0,1.25,0,21.493628306504206,0.5,4.0,1.1699611064770983
VST-CA,mixed,zipfian,900,4,False,1,4,16,0.1,1,261.1675925707342,0.05558320908147966,0.0010154066421368415,1.0,1.75,2,39.86720203294817,0.5,4.0,1.1800168415589911
VST-CA,mixed,uniform,900,4,False,1,4,16,0.1,1,194.62327364625594,0.0532086086455555,0.0009135364529602565,1.0,1.0,4,52.77126818586987,0.5,4.0,1.162397690707637
VST-CA,pure,zipfian,900,4,False,1,4,16,0.1,1,261.1675925707342,0.05558320908147966,0.0010154066421368415,1.0,1.75,2,41.08480128003487,0.5,4.0,1.1800168415589911
VST-CA,pure,uniform,900,4,False,1,4,16,0.1,1,194.8854072789971,0.052527460605521686,0.0009135364529602565,1.0,1.0,3,68.06998727867904,0.5,4.0,1.1514364249986717
VST-NCA,N/A,zipfian,900,4,False,2,4,16,0.1,1,203.52063763455118,0.050345760885387246,0.0010273591300944108,1.25,1.75,0,16.619218893445236,0.5,4.0,1.1033781192955985
VST-NCA,N/A,uniform,900,4,False,2,4,16,0.1,1,207.3881856764829,0.05337576317903475,0.0007591948453580105,0.75,1.5,0,19.722420160753472,0.5,4.0,1.1695112220939026
VST-CA,mixed,zipfian,900,4,False,2,4,16,0.1,1,203.52063763455118,0.050345760885387246,0.0010273591300944108,1.25,1.75,2,32.305779708184446,0.5,4.0,1.1033781192955985
VST-CA,mixed,uniform,900,4,False,2,4,16,0.1,1,203.1320583892406,0.053188050901140135,0.0007803842745070594,1.0,1.25,3,53.62019390392652,0.5,4.0,1.157590142591452
VST-CA,pure,zipfian,900,4,False,2,4,16,0.1,1,203.52063763455118,0.050345760885387246,0.0010273591300944108,1.25,1.75,2,33.677907853299075,0.5,4.0,1.1033781192955985
VST-CA,pure,uniform,900,4,False,2,4,16,0.1,1,203.1320583892406,0.053188050901140135,0.0007803842745070594,1.0,1.25,3,65.20038671994666,0.5,4.0,1.157590142591452
VST-NCA,N/A,zipfian,900,4,False,3,4,16,0.1,1,223.39364608433007,0.05614624090912313,0.0008218873040755285,1.0,1.5,0,18.331923331333883,0.5,4.0,1.1890137448478273
VST-NCA,N/A,uniform,900,4,False,3,4,16,0.1,1,204.76971697658144,0.05395803054408981,0.0008118895437952529,0.75,1.5,0,19.60248155562408,0.5,4.0,1.1863892306521877
VST-CA,mixed,zipfian,900,4,False,3,4,16,0.1,1,213.4824348081785,0.05577797869702538,0.0007916200813980345,0.75,1.25,3,44.08271681025826,0.5,4.0,1.185815248489928
VST-CA,mixed,uniform,900,4,False,3,4,16,0.1,1,188.8932692024386,0.051597353280057025,0.0007503910255523489,0.75,1.25,3,40.132239132096856,0.5,4.0,1.1604547525694708
VST-CA,pure,zipfian,900,4,False,3,4,16,0.1,1,213.4824348081785,0.05577797869702538,0.0007916200813980345,0.75,1.25,3,55.45170388213273,0.5,4.0,1.185815248489928
VST-CA,pure,uniform,900,4,False,3,4,16,0.1,1,188.77599545817415,0.05149914108606756,0.0007503910255523489,0.75,1.0,4,72.81439084680687,0.5,4.0,1.1533705886820924
VST-NCA,N/A,zipfian,900,4,False,4,4,16,0.1,1,179.7162038354878,0.04721943963365892,0.0007040301540981798,0.75,1.5,0,17.885339280555172,0.5,4.0,1.0684196367852212
VST-NCA,N/A,uniform,900,4,False,4,4,16,0.1,1,212.86617347309317,0.05082006613619517,0.0008986445579113556,1.25,1.5,0,18.650178555208868,0.5,4.0,1.12509560901943
VST-CA,mixed,zipfian,900,4,False,4,4,16,0.1,1,179.7162038354878,0.04721943963365892,0.0007040301540981798,0.75,1.5,2,35.45612016644964,0.5,4.0,1.0684196367852212
VST-CA,mixed,uniform,900,4,False,4,4,16,0.1,1,191.9346769229657,0.05158330096894446,0.0009223288572961275,1.0,1.0,4,44.34507211741993,0.5,4.0,1.1293987298839607
