ah,21303,19,804,68092.92757414165,1.9912901517015023,1.1236416044989461,32,0.60625,3.9655415119559203,127,97,9,3380,0
o,21303,19,804,93734.25648564214,1.4465658678338322,1.2434304536638192,44,0.4409090909090908,0.37959326107226277,127,97,9,3380,0
rh,21303,19,804,73201.69964352953,1.8523173196689198,1.18520226233021,31,0.6258064516129032,0.3183206998833903,127,97,9,3380,0
ch,21303,19,804,73290.88666624742,1.8500632513340345,1.232950559475637,32,0.60625,0.35030802669485706,127,97,9,3380,0
ah,21303,19,804,68130.44286798661,1.9752190361131081,1.1162671732488412,34,0.5647058823529414,4.4927112586263656,127,96,9,3380,1
o,21303,19,804,93682.3970963504,1.4364763484142986,1.2303187008066558,46,0.4173913043478259,0.40044062462745167,127,96,9,3380,1
rh,21303,19,804,69052.5741572945,1.9488418691694476,1.1997113611978556,28,0.6857142857142858,0.3892584226727873,127,96,9,3380,1
ch,21303,19,804,66874.08314788486,2.01232736745072,1.1460878331798343,30,0.64,0.4070721002738793,127,96,9,3380,1
ah,21303,19,804,65197.36951195108,2.13876157235351,1.1865464773867673,30,0.6466666666666666,4.171668333845199,127,97,9,3380,2
o,21303,19,804,97493.38450197605,1.430267594493727,1.2671168179781827,44,0.41818181818181804,0.364810111391737,127,97,9,3380,2
rh,21303,19,804,70642.86058230598,1.9738955554925455,1.1463270448240432,31,0.6258064516129033,0.5306554261726788,127,97,9,3380,2
ch,21303,19,804,69359.35506935521,2.010422795760716,1.1618743093267752,29,0.6689655172413793,0.5207340691025131,127,97,9,3380,2
ah,21303,19,804,66747.90869247384,2.051651949647589,1.1284570794258457,31,0.6258064516129033,3.9482390410315418,127,97,9,3380,3
o,21303,19,804,94700.76416672822,1.4460651739062351,1.274728094220325,39,0.446153846153846,0.3813862346055714,127,97,9,3380,3
rh,21303,19,804,71548.0959936695,1.9140058879544442,1.3214673907989112,25,0.7760000000000002,0.6104522225055682,127,97,9,3380,3
ch,21303,19,804,66095.5516858215,2.071901565399743,1.1676840383078078,28,0.6928571428571431,0.6084812148323344,127,97,9,3380,3
ah,21303,19,804,63175.145508515736,2.0672112076468605,1.0808243705565583,33,0.575757575757576,3.6664638945974737,127,95,9,3380,4
o,21303,19,804,88339.2295907195,1.4783507785271064,1.2483636999213914,42,0.4285714285714284,0.3796678696142699,127,95,9,3380,4
rh,21303,19,804,63295.75863311065,2.063272036866127,1.1862029272381693,27,0.7037037037037038,0.6745989889555695,127,95,9,3380,4
ch,21303,19,804,62422.89253315316,2.092122994309571,1.132191043503559,30,0.6333333333333333,0.679460781565929,127,95,9,3380,4
ah,21303,7,805,65814.22177321701,2.1375418786371,1.1639848868616822,31,0.6258064516129032,3.396736251303537,136,97,28,3393,0
o,21303,7,805,96577.91018450285,1.4566545805495696,1.1757019779469735,54,0.35925925925925895,0.33827828749326727,136,97,28,3393,0
rh,21303,7,805,76928.42583695306,1.8287213565025813,1.2612061835479416,31,0.6258064516129033,0.3021432784021272,136,97,28,3393,0
ch,21303,7,805,75980.66331932777,1.8515323386809,1.1880304080047612,36,0.5388888888888888,0.2908079118215028,136,97,28,3393,0
ah,21303,7,805,64603.19393214133,2.1625609133296053,1.0990923759486906,30,0.6266666666666667,3.6728904928190786,136,94,28,3393,1
