mVST-RS,0,10000,297,256,10,4,1,164.8895576051274,11867.632132159568,1.8956584533513956,1.1681294700807237,101,0.6336633663366337
Gr-based,0,10000,297,256,10,4,1,3.147864450349971,11241.146106912502,2.0013063577884553,1.214006544997091,83,0.7710843373493976
mVST-RS,0,10000,298,256,10,4,2,184.18503465165963,12009.617366232318,1.8698700566448656,1.162246202119819,95,0.6736842105263158
Gr-based,0,10000,298,256,10,4,2,2.9661323252850025,11363.022067586307,1.97627213705219,1.2230565791101013,75,0.8533333333333334
mVST-RS,0,10000,302,256,10,4,3,120.7819073176662,11083.463006542119,1.8102947010727382,1.1897887894233867,98,0.6530612244897959
Gr-based,0,10000,302,256,10,4,3,2.498523218743685,10714.754688479576,1.8725892410632545,1.2626658124392023,80,0.8
mVST-RS,0,10000,301,256,10,4,4,103.65918209766892,10732.30467913434,1.6963286142638858,1.2462846588955063,93,0.6881720430107527
Gr-based,0,10000,301,256,10,4,4,3.60893521742355,10225.668512599908,1.7803741145902805,1.2832561340194155,82,0.7682926829268293
mVST-RS,0,10000,298,256,10,4,5,114.23530008542502,10432.816494156994,1.7690305220900373,1.1878101452723855,100,0.64
Gr-based,0,10000,298,256,10,4,5,2.9970953872000337,10031.862042511886,1.8397353084918313,1.2379970260061752,87,0.735632183908046
mVST-RS,0,10000,296,256,20,4,1,108.55623295642056,10083.917047129418,1.6809105967787907,1.1945921482601436,106,0.6037735849056604
Gr-based,0,10000,296,256,20,4,1,3.791903322738108,9684.779136299507,1.750185810436012,1.2846494190139957,91,0.6813186813186813
mVST-RS,0,10000,298,256,20,4,2,71.12330827423841,9440.26418658301,1.5894669989939083,1.1892930141706748,106,0.6037735849056604
Gr-based,0,10000,298,256,20,4,2,2.901846351588347,9147.498066333386,1.6403379675566578,1.2748837697164304,87,0.7126436781609196
mVST-RS,0,10000,300,256,20,4,3,71.78876777782523,8873.48957090146,1.5326569983885376,1.2132841188695587,104,0.6153846153846154
Gr-based,0,10000,300,256,20,4,3,3.882833730457719,8783.371201816062,1.5483822302942025,1.298936948878976,97,0.6597938144329897
mVST-RS,0,10000,298,256,20,4,4,53.35723697819219,9092.980614088261,1.5645433188181341,1.1984510654498732,105,0.6095238095238096
Gr-based,0,10000,298,256,20,4,4,2.89527445788201,8962.933474513933,1.5872439652003678,1.2959328117989009,87,0.735632183908046
mVST-RS,0,10000,305,256,20,4,5,52.60031296235752,9478.94872405705,1.6026115632879616,1.1859168067192438,113,0.5663716814159292
Gr-based,0,10000,305,256,20,4,5,2.3214223681241037,9262.27434560458,1.640101800719867,1.3182600120710657,91,0.7032967032967034
mVST-RS,0,10000,295,256,40,4,1,20.65356235482858,7812.05373485426,1.3676511412642633,1.1950628514577046,142,0.4507042253521127
Gr-based,0,10000,295,256,40,4,1,2.403520115963431,7740.436352312169,1.3803051559101938,1.3728881605908365,113,0.5486725663716814
mVST-RS,0,10000,301,256,40,4,2,23.707255058005387,8078.880603636958,1.4338722394862775,1.1680423434614784,139,0.460431654676259
Gr-based,0,10000,301,256,40,4,2,2.349800174639995,7751.1321500123895,1.4945020158972078,1.246520402440914,120,0.525
mVST-RS,0,10000,299,256,40,4,3,11.941542200179128,7793.408761538428,1.2883306760627926,1.2120623927645604,129,0.49612403100775193
Gr-based,0,10000,299,256,40,4,3,1.8754885102391654,7565.321638828415,1.3271725985917748,1.3100108029094204,109,0.5871559633027523
mVST-RS,0,10000,302,256,40,4,4,22.44326372999967,8036.193740138654,1.3998304884578303,1.1745335498641296,134,0.47761194029850745
Gr-based,0,10000,302,256,40,4,4,1.6078346383957296,7725.408392089334,1.4561442499427113,1.2679134705625956,106,0.5943396226415094
mVST-RS,0,10000,299,256,40,4,5,15.041211710666175,7542.978428957786,1.3562853537193131,1.195933760556108,134,0.47761194029850745
Gr-based,0,10000,299,256,40,4,5,1.738931838314329,7456.311180350443,1.3720499210891752,1.2939229021005805,115,0.5565217391304348
mVST-RS,0,10000,293,256,80,4,1,2.9418935327955182,6408.03964650705,1.1630307354245186,1.1507876834739197,185,0.34594594594594597
Gr-based,0,10000,293,256,80,4,1,1.8477723143582239,6566.8816376576615,1.1348989480743685,1.4207813276469348,142,0.43661971830985913
mVST-RS,0,10000,294,256,80,4,2,4.418902563228016,6805.4556093731335,1.2330390218113256,1.142294814762713,167,0.38323353293413176
Gr-based,0,10000,294,256,80,4,2,1.6596415933605613,6598.044625132297,1.271799874708121,1.2763818777003548,135,0.4740740740740741
mVST-RS,0,10000,298,256,80,4,3,2.827035005360756,6370.108311199162,1.144133289033341,1.1093297390822192,181,0.35359116022099446
Gr-based,0,10000,298,256,80,4,3,1.8701454911787891,6257.835895427175,1.1646602907750756,1.2832993653331959,144,0.4375
mVST-RS,0,10000,303,256,80,4,4,3.9932038850281515,6602.29063074091,1.1942798687588483,1.1179208118845747,176,0.36363636363636365
Gr-based,0,10000,303,256,80,4,4,1.4772154876891364,6425.665111115185,1.227107645922832,1.348987248524276,131,0.48854961832061067
mVST-RS,0,10000,302,256,80,4,5,4.661818671315245,6362.995653529172,1.1879938253057083,1.1529914665714163,169,0.378698224852071
Gr-based,0,10000,302,256,80,4,5,1.4451964541459574,6108.024585533491,1.2375849902017835,1.29371522685268,134,0.4701492537313433
mVST-RS,0,10000,290,256,160,4,1,1.4355348071933918,5159.580089565786,1.0596597081740824,1.0931409500401292,213,0.3004694835680751
Gr-based,0,10000,290,256,160,4,1,1.4053434927672868,5067.346640685154,1.0789471334194816,1.1953160385664225,184,0.3423913043478261
mVST-RS,0,10000,297,256,160,4,2,1.391127943496258,5267.358834989862,1.0578654095908422,1.0702456966203986,218,0.29357798165137616
Gr-based,0,10000,297,256,160,4,2,1.521807097076703,5257.504024660682,1.059848301646924,1.1853517972809204,186,0.34408602150537637
mVST-RS,0,10000,293,256,160,4,3,0.8821950156559524,4787.937174133445,1.0694780006896103,1.0523772677691017,220,0.2909090909090909
Gr-based,0,10000,293,256,160,4,3,1.0810417762113502,4854.990581404184,1.0547071905829932,1.2238604261737343,184,0.34782608695652173
mVST-RS,0,10000,295,256,160,4,4,1.5877838096456571,5293.301682659966,1.0652655573921221,1.067117881614774,217,0.29493087557603687
Gr-based,0,10000,295,256,160,4,4,1.7731930845109218,5222.435169812758,1.079720816836027,1.2559880133727201,174,0.367816091954023
mVST-RS,0,10000,289,256,160,4,5,1.5503001722713634,4755.354663073249,1.0584448258805799,1.0592153589596525,218,0.29357798165137616
Gr-based,0,10000,289,256,160,4,5,1.24062573523247,4747.680649660147,1.0601556654231294,1.1923971604599293,184,0.34782608695652173
mVST-RS,0,10000,287,256,320,4,1,0.5433185220976497,3839.344350213336,1.0209306272620073,1.029040782936332,241,0.26556016597510373
Gr-based,0,10000,287,256,320,4,1,0.9503302526594553,3866.5785407760964,1.0137397170138396,1.1007007918620872,227,0.28193832599118945
mVST-RS,0,10000,287,256,320,4,2,0.687033300015969,3773.7046559043374,1.0257518664940464,1.0315406877275708,238,0.2689075630252101
Gr-based,0,10000,287,256,320,4,2,1.027756066211623,3893.648250629648,0.9941536433767947,1.1473680825530068,215,0.29767441860465116
mVST-RS,0,10000,292,256,320,4,3,0.8093061299252895,3823.91327759617,1.0247534512063416,1.015048840013014,245,0.2612244897959184
Gr-based,0,10000,292,256,320,4,3,0.991191814976446,3786.7226009188826,1.0348178996210475,1.0894116510074106,220,0.2909090909090909
mVST-RS,0,10000,290,256,320,4,4,0.7433925782761435,3902.5687122399277,1.0286751901112317,1.0213919682210788,240,0.26666666666666666
Gr-based,0,10000,290,256,320,4,4,0.8237857707922558,3947.6693858748163,1.0169229536672386,1.1108665006731646,218,0.29357798165137616
mVST-RS,0,10000,289,256,320,4,5,0.5250930439299282,3691.303256651789,1.017010501792846,1.0309940221614244,240,0.26666666666666666
Gr-based,0,10000,289,256,320,4,5,0.7849398313287566,3688.850533705633,1.0176867137920682,1.117701210797572,219,0.2922374429223744
mVST-RS,0,10000,276,256,640,4,1,0.5926625959452849,2832.552410374836,1.0050842225039753,1.016374991573218,252,0.25396825396825395
Gr-based,0,10000,276,256,640,4,1,0.570902474802665,2854.9792820586317,0.9971889305727322,1.06307407883718,240,0.26666666666666666
mVST-RS,0,10000,275,256,640,4,2,0.6935183474577116,2766.122923436005,1.0187346237567234,1.0125099467113818,245,0.2612244897959184
Gr-based,0,10000,275,256,640,4,2,1.058109230494665,2782.754280395471,1.0126460735408354,1.0520601658253412,235,0.2723404255319149
mVST-RS,0,10000,268,256,640,4,3,0.40552902796935086,2760.7254832873637,1.0045244817650898,1.001042109709412,254,0.25196850393700787
Gr-based,0,10000,268,256,640,4,3,0.5469925138518192,2779.349386768292,0.9977933499823471,1.0318486901338106,244,0.26229508196721313
mVST-RS,0,10000,277,256,640,4,4,0.41061387676973027,2698.6343205398553,1.0033252982691265,1.00218160292063,253,0.25296442687747034
Gr-based,0,10000,277,256,640,4,4,0.7580494644744249,2689.603414131155,1.0066941729584369,1.043948796465393,240,0.26666666666666666
mVST-RS,0,10000,285,256,640,4,5,0.5275432928629016,2726.4579671691135,1.0154943618274221,1.014579762481083,249,0.2570281124497992
Gr-based,0,10000,285,256,640,4,5,0.5914806972336919,2746.8982106920525,1.0079378561035734,1.0497210708584301,240,0.26666666666666666
