VST-NCA,N/A,zipfian,900,6,7,False,0,16,16,0.1,1,2219.2878086419805,0.3010324483775771,0.001032448377581121,1.1666666666666667,1.1666666666666667,0,69.50162637442455,1.0,4.0,1.7698725139695008
VST-NCA,N/A,uniform,900,6,7,False,0,16,16,0.1,1,2439.334876543198,0.3263219398188684,0.0008764241893076249,1.0,1.0,0,76.7486185686168,1.0,4.0,1.9036081236711844
VST-CA,mixed,zipfian,900,6,7,False,0,16,16,0.1,1,2185.1033950617352,0.2974941724941722,0.0008741258741258741,1.0,1.0,3,170.53968353595906,1.0,4.0,1.7326106664652103
VST-CA,mixed,uniform,900,6,7,False,0,16,16,0.1,1,2319.6566358024634,0.29338080168776426,0.0006592827004219409,0.8333333333333334,0.8333333333333334,4,178.28177015855573,1.0,4.0,1.6480258786821562
VST-CA,pure,zipfian,900,6,7,False,0,16,16,0.1,1,2170.7283950617352,0.29775444736075013,0.0008748906386701663,1.0,1.0,3,188.12816264691645,1.0,4.0,1.7207318869356267
VST-CA,pure,uniform,900,6,7,False,0,16,16,0.1,1,2293.2137345678975,0.2881863127764763,0.0006505334374186833,0.8333333333333334,0.8333333333333334,7,478.72286461380315,1.0,4.0,1.595813613844876
VST-NCA,N/A,zipfian,900,6,7,False,1,16,16,0.1,1,2460.587962962954,0.30854700854700706,0.001282051282051282,1.5,1.5,0,62.404690116459506,1.0,4.0,1.8210268456896348
VST-NCA,N/A,uniform,900,6,7,False,1,16,16,0.1,1,2510.6550925925726,0.32130434782608763,0.0010144927536231885,1.1666666666666667,1.1666666666666667,0,70.66785920966095,1.0,4.0,1.9022987603963109
VST-CA,mixed,zipfian,900,6,7,False,1,16,16,0.1,1,2287.9004629629662,0.29661716171617025,0.0008250825082508251,1.0,1.0,3,227.02419981983553,1.0,4.0,1.7126500326698162
VST-CA,mixed,uniform,900,6,7,False,1,16,16,0.1,1,2418.698302469122,0.3064070698701992,0.0009665838166252416,1.1666666666666667,1.1666666666666667,3,218.16822198589784,1.0,4.0,1.7811893791821933
VST-CA,pure,zipfian,900,6,7,False,1,16,16,0.1,1,2224.152777777783,0.2854851643945482,0.0006682705159048383,0.8333333333333334,0.8333333333333334,7,464.1794179158567,1.0,4.0,1.6114977203812213
VST-CA,pure,uniform,900,6,7,False,1,16,16,0.1,1,2398.8016975308524,0.30021627466882794,0.0009462016761286836,1.1666666666666667,1.1666666666666667,4,414.45346516440213,1.0,4.0,1.722574247086264
VST-NCA,N/A,zipfian,900,6,7,False,2,16,16,0.1,1,2619.3117283950387,0.310247747747752,0.0011261261261261261,1.3333333333333333,1.3333333333333333,0,101.00938718053794,1.0,4.0,1.834020293305058
VST-NCA,N/A,uniform,900,6,7,False,2,16,16,0.1,1,2524.5486111110954,0.3241949521322845,0.0010153756890049319,1.1666666666666667,1.1666666666666667,0,92.18044347914656,1.0,4.0,1.9149566180830562
VST-CA,mixed,zipfian,900,6,7,False,2,16,16,0.1,1,2486.2654320987535,0.2963567156063066,0.001087547580206634,1.3333333333333333,1.3333333333333333,4,267.359156369585,1.0,4.0,1.727065386665042
VST-CA,mixed,uniform,900,6,7,False,2,16,16,0.1,1,2385.225308641966,0.29205851619644324,0.0009143155694879833,1.1666666666666667,1.1666666666666667,4,262.79145813941204,1.0,4.0,1.666908598726321
VST-CA,pure,zipfian,900,6,7,False,2,16,16,0.1,1,2288.528549382718,0.2926403438087579,0.0006715014773032501,0.8333333333333334,0.8333333333333334,6,635.1186578305587,1.0,4.0,1.6758504795716958
VST-CA,pure,uniform,900,6,7,False,2,16,16,0.1,1,2362.5856481481387,0.2858796296296323,0.0009002057613168725,1.1666666666666667,1.1666666666666667,4,445.76981985929524,1.0,4.0,1.6332577126099421
VST-NCA,N/A,zipfian,900,6,7,False,3,16,16,0.1,1,2682.455246913556,0.32477849068133446,0.0013748854262144823,1.5,1.5,0,100.30676855981346,1.0,4.0,1.942512703333331
VST-NCA,N/A,uniform,900,6,7,False,3,16,16,0.1,1,2313.1003086419723,0.30295062810399853,0.0008764241893076249,1.0,1.0,0,84.38458702326898,1.0,4.0,1.7846493453002483
VST-CA,mixed,zipfian,900,6,7,False,3,16,16,0.1,1,2264.728395061733,0.2859848484848497,0.0009469696969696971,1.1666666666666667,1.1666666666666667,5,272.4267456484613,1.0,4.0,1.658212060587947
VST-CA,mixed,uniform,900,6,7,False,3,16,16,0.1,1,2194.7754629629676,0.2926932880203948,0.0008496176720475786,1.0,1.0,4,233.83597066525817,1.0,4.0,1.6950092248444346
VST-CA,pure,zipfian,900,6,7,False,3,16,16,0.1,1,2205.942901234574,0.29121937792458397,0.0006881365262868153,0.8333333333333334,0.8333333333333334,6,615.2648084944112,1.0,4.0,1.63409898180142
VST-CA,pure,uniform,900,6,7,False,3,16,16,0.1,1,2171.0787037037094,0.2780921584478564,0.0008084074373484236,1.0,1.0,5,535.450853096545,1.0,4.0,1.5981177967080633
VST-NCA,N/A,zipfian,900,6,7,False,4,16,16,0.1,1,2787.472993827134,0.3429575313168381,0.0013748854262144823,1.5,1.5,0,111.5343405801732,1.0,4.0,2.016883992911336
VST-NCA,N/A,uniform,900,6,7,False,4,16,16,0.1,1,2397.255401234559,0.31013378878451286,0.0008539709649871904,1.0,1.0,0,101.62408368406977,1.0,4.0,1.8306608822233335
VST-CA,mixed,zipfian,900,6,7,False,4,16,16,0.1,1,2709.9405864197247,0.32141831754234584,0.0011484352569623886,1.3333333333333333,1.3333333333333333,3,257.99265289301275,1.0,4.0,1.9035804723984462
