VST-NCA,N/A,uniform,1,2,1,36.00251195777339,0.00138119847422173,0.2,0,0.06761336990350592
VST-CA,mixed,uniform,1,2,1,36.00251195777339,0.00138119847422173,0.2,2,0.09322196484147399
VST-NCA,N/A,uniform,1,2,1,36.00251195777339,0.00138119847422173,0.2,0,0.06981452795897067
VST-CA,mixed,uniform,1,2,1,36.00251195777339,0.00138119847422173,0.2,2,0.09402055572135298
VST-NCA,N/A,uniform,1,2,1,36.00251195777339,0.00138119847422173,0.2,0,0.07375932215700853
VST-CA,mixed,uniform,1,2,1,36.003668534864104,0.0015008393538293871,0.2,3,0.18495925331160595
VST-NCA,N/A,uniform,1,2,1,36.00251195777339,0.00138119847422173,0.2,0,0.06443598088118963
VST-CA,mixed,uniform,1,2,1,36.00251195777339,0.00138119847422173,0.2,2,0.08959100146375432
VST-NCA,N/A,uniform,1,2,1,36.00251195777339,0.00138119847422173,0.2,0,0.0644490078209009
VST-CA,mixed,uniform,1,2,1,36.00251195777339,0.00138119847422173,0.2,2,0.0947721706671214
VST-NCA,N/A,uniform,1,2,1,36.00251195777339,0.00138119847422173,0.2,0,0.07410749672747496
VST-CA,mixed,uniform,1,2,1,36.00251195777339,0.00138119847422173,0.2,2,0.11347490853509301
VST-NCA,N/A,uniform,1,2,1,36.00251195777339,0.00138119847422173,0.2,0,0.06431676464504354
VST-CA,mixed,uniform,1,2,1,36.003668534864104,0.0015008393538293871,0.2,3,0.17882080141733114
VST-NCA,N/A,uniform,1,2,1,36.00251195777339,0.00138119847422173,0.2,0,0.06629409619092286
VST-CA,mixed,uniform,1,2,1,36.00251195777339,0.00138119847422173,0.2,2,0.0941279292850341
VST-NCA,N/A,uniform,1,2,1,36.00251195777339,0.00138119847422173,0.2,0,0.0685422301804981
VST-CA,mixed,uniform,1,2,1,36.00251195777339,0.00138119847422173,0.2,2,0.1263163130444669
VST-NCA,N/A,uniform,1,2,1,36.00251195777339,0.00138119847422173,0.2,0,0.092609303919293
VST-CA,mixed,uniform,1,2,1,36.00251195777339,0.00138119847422173,0.2,2,0.10976065169437055
VST-NCA,N/A,uniform,1,4,2,61.00538965524388,0.0024719190001582015,0.2,0,0.23576905525475156
VST-CA,mixed,uniform,1,4,2,61.00538965524388,0.0024719190001582015,0.2,2,0.2373816324887139
VST-NCA,N/A,uniform,1,4,2,61.00538965524388,0.0024719190001582015,0.2,0,0.19262540995384558
VST-CA,mixed,uniform,1,4,2,61.00538965524388,0.0024719190001582015,0.2,2,0.22751392303526075
VST-NCA,N/A,uniform,1,4,2,61.00538965524388,0.0024719190001582015,0.2,0,0.18497504354155891
VST-CA,mixed,uniform,1,4,2,62.006847226412596,0.002559699590430487,0.25,3,0.41373205242987954
VST-NCA,N/A,uniform,1,4,2,61.00538965524388,0.0024719190001582015,0.2,0,0.21975026172306134
VST-CA,mixed,uniform,1,4,2,61.00538965524388,0.0024719190001582015,0.2,2,0.2109878683663271
VST-NCA,N/A,uniform,1,4,2,61.00538965524388,0.0024719190001582015,0.2,0,0.1966558661493787
VST-CA,mixed,uniform,1,4,2,61.00538965524388,0.0024719190001582015,0.2,2,0.22600200851725027
VST-NCA,N/A,uniform,1,4,2,61.00538965524388,0.0024719190001582015,0.2,0,0.22743220859525426
VST-CA,mixed,uniform,1,4,2,61.00538965524388,0.0024719190001582015,0.2,2,0.2353719309714304
VST-NCA,N/A,uniform,1,4,2,61.00538965524388,0.0024719190001582015,0.2,0,0.17598763940799245
VST-CA,mixed,uniform,1,4,2,62.006847226412596,0.002559699590430487,0.25,3,0.4050541368033942
VST-NCA,N/A,uniform,1,4,2,61.00538965524388,0.0024719190001582015,0.2,0,0.18985264557407788
VST-CA,mixed,uniform,1,4,2,61.00538965524388,0.0024719190001582015,0.2,2,0.20772600161376076
VST-NCA,N/A,uniform,1,4,2,61.00538965524388,0.0024719190001582015,0.2,0,0.17715216886703544
VST-CA,mixed,uniform,1,4,2,61.00538965524388,0.0024719190001582015,0.2,2,0.233860411209168
VST-NCA,N/A,uniform,1,4,2,61.00538965524388,0.0024719190001582015,0.2,0,0.18575192285525244
VST-CA,mixed,uniform,1,4,2,61.00538965524388,0.0024719190001582015,0.2,2,0.2175052857794766
VST-NCA,N/A,uniform,1,8,4,97.02844470200021,0.004065482782260189,0.4,0,2.004069931770416
VST-CA,mixed,uniform,1,8,4,97.02844470200021,0.004065482782260189,0.4,2,1.9164961321831733
VST-NCA,N/A,uniform,1,8,4,97.02844470200021,0.004065482782260189,0.4,0,1.8710660615850543
VST-CA,mixed,uniform,1,8,4,97.02844470200021,0.004065482782260189,0.4,2,1.9976365973317662
VST-NCA,N/A,uniform,1,8,4,97.02844470200021,0.004065482782260189,0.4,0,1.9087518139026667
VST-CA,mixed,uniform,1,8,4,97.00962923299765,0.0040564740107929455,0.2,3,4.2183978285275785
VST-NCA,N/A,uniform,1,8,4,97.02844470200021,0.004065482782260189,0.4,0,1.9585155131114185
VST-CA,mixed,uniform,1,8,4,97.02844470200021,0.004065482782260189,0.4,2,2.2587801573654325
VST-NCA,N/A,uniform,1,8,4,97.02844470200021,0.004065482782260189,0.4,0,1.9790787348236165
VST-CA,mixed,uniform,1,8,4,97.02844470200021,0.004065482782260189,0.4,2,1.963693129513043
VST-NCA,N/A,uniform,1,8,4,97.02844470200021,0.004065482782260189,0.4,0,2.1410604402631925
VST-CA,mixed,uniform,1,8,4,97.02844470200021,0.004065482782260189,0.4,2,2.024633153482611
VST-NCA,N/A,uniform,1,8,4,97.02844470200021,0.004065482782260189,0.4,0,2.1562802481592556
