Column 0,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9
eVST-RS,0,2500,205,30,5,1,.94813444589976110000,1004.31464583119870000000,0
Hotspot,0,2500,205,30,5,1,.10327556546117478000,987.83452108729410000000,0
eVST-RS,0,2500,205,30,10,1,.22920076329067562000,653.18321225822720000000,0
Hotspot,0,2500,205,30,10,1,.08719103820321905000,683.66414524561700000000,0
eVST-RS,0,2500,205,30,10,2,.17870104790620190000,569.05936535139120000000,0
Hotspot,0,2500,205,30,10,2,.05269334710224882000,598.56655674472510000000,0
eVST-RS,0,2500,203,30,10,3,.14306884221878490000,626.16239826659170000000,0
Hotspot,0,2500,203,30,10,3,.06372190260543675000,604.74997907157010000000,0
eVST-RS,0,2500,205,30,5,4,1.32062195400202140000,1228.54724897247550000000,0
Hotspot,0,2500,205,30,5,4,.14500035922348076000,1178.54890654364730000000,0
eVST-RS,0,2500,205,30,10,4,.14712175149472273000,547.22350703888430000000,0
Hotspot,0,2500,205,30,10,4,.05301467447642238500,503.00492335378040000000,0
eVST-RS,0,2500,203,30,10,5,.14235552702820797000,686.69912220305180000000,0
Hotspot,0,2500,203,30,10,5,.05851158318075988500,692.96888232308560000000,0
eVST-RS,0,2500,204,30,10,6,.16487410203999530000,560.96411150272510000000,0
Hotspot,0,2500,204,30,10,6,.05402247396813919500,573.94085336932040000000,0
eVST-RS,0,2500,205,30,10,7,.23298168907668781000,503.64467508412946000000,0
Hotspot,0,2500,205,30,10,7,.03910956789758302000,496.11967062070073000000,0
eVST-RS,0,2500,203,30,10,8,.37257987985356067000,609.07569195638830000000,0
Hotspot,0,2500,203,30,10,8,.04753868757899937000,526.09749848769540000000,0
eVST-RS,0,2500,205,30,10,9,.11515599378188313000,558.58327588625130000000,0
Hotspot,0,2500,205,30,10,9,.04438028423656703600,531.90380890875300000000,0
eVST-RS,0,2500,204,30,10,10,.12293337944025495000,604.72178350190960000000,0
Hotspot,0,2500,204,30,10,10,.06398164881207435000,640.19701769424890000000,0
eVST-RS,0,2500,201,40,10,1,.56877747960913890000,735.71180349449800000000,0
Hotspot,0,2500,201,40,10,1,.06478694100287896000,804.00575471802760000000,0
eVST-RS,0,2500,201,40,15,1,.01645835652496430000,196.23983911472575000000,0
Hotspot,0,2500,201,40,15,1,.01349140745338672800,196.23983911472570000000,0
eVST-RS,0,2500,206,40,10,2,.16043315245839550000,864.92546752748910000000,0
Hotspot,0,2500,206,40,10,2,.06214842482479810000,729.52175446866220000000,0
eVST-RS,0,2500,206,40,15,2,.03072189707891937000,283.99318074290017000000,0
Hotspot,0,2500,206,40,15,2,.02014967381718691000,268.72724518334720000000,0
eVST-RS,0,2500,205,40,10,3,.23281549887457230000,827.56638299503200000000,0
Hotspot,0,2500,205,40,10,3,.06771086220739164000,776.28053805377040000000,0
eVST-RS,0,2500,205,40,15,3,.05329415823675276400,363.47656176019376000000,0
Hotspot,0,2500,205,40,15,3,.03375358532662176000,378.52740239275226000000,0
eVST-RS,0,2500,199,40,10,4,.40141802480773947000,864.16641403817810000000,0
Hotspot,0,2500,199,40,10,4,.10130338909587522000,914.84137828950840000000,0
eVST-RS,0,2500,199,40,15,4,.04273101424972481000,278.28230768887016000000,0
Hotspot,0,2500,199,40,15,4,.03123902098575115400,282.48393795507116000000,0
eVST-RS,0,2500,202,40,10,5,.23994075575882334000,827.07618112668730000000,0
Hotspot,0,2500,202,40,10,5,.06317911987879654000,770.83754183930490000000,0
eVST-RS,0,2500,202,40,15,5,.08925913907948768000,407.39258097391940000000,0
Hotspot,0,2500,202,40,15,5,.03790202436245238000,426.52211546173527000000,0
eVST-RS,0,2500,203,40,15,6,.04991074678218865000,313.38887861348200000000,0
Hotspot,0,2500,203,40,15,6,.02436601003773830600,320.32068141689376000000,0
eVST-RS,0,2500,205,40,10,7,.26402451877871160000,820.39620145416770000000,0
Hotspot,0,2500,205,40,10,7,.08041710977474281000,822.40221656243530000000,0
eVST-RS,0,2500,205,40,15,7,.09955622084268612000,456.21659842950690000000,0
Hotspot,0,2500,205,40,15,7,.03947984440489449000,438.98798648318910000000,0
eVST-RS,0,2500,203,40,10,8,.29148340348058355000,723.66596746379060000000,0
Hotspot,0,2500,203,40,10,8,.05150356736544381400,689.50741817622590000000,0
eVST-RS,0,2500,203,40,15,8,.04042764173340174000,321.07605595646880000000,0
Hotspot,0,2500,203,40,15,8,.02270252901223557300,314.70481883249215000000,0
eVST-RS,0,2500,204,40,10,9,.50350736329178860000,898.97200254255450000000,0
Hotspot,0,2500,204,40,10,9,.07631919887637650000,831.55708640122660000000,0
eVST-RS,0,2500,204,40,15,9,.04964902682016259000,324.51891656133307000000,0
Hotspot,0,2500,204,40,15,9,.03176127665653894000,335.57840194114830000000,0
eVST-RS,0,2500,204,40,10,10,.36534922443254914000,763.88472172654140000000,0
Hotspot,0,2500,204,40,10,10,.05674349312067761000,748.89988238151400000000,0
eVST-RS,0,2500,204,40,15,10,.21457642025515610000,360.87867420559040000000,0
Hotspot,0,2500,204,40,15,10,.03175535539043039500,309.61251629476044000000,0
eVST-RS,0,2500,201,50,10,1,.35725524841288350000,1032.65254263389970000000,0
Hotspot,0,2500,201,50,10,1,.07014923959098951000,991.73691050658860000000,0
eVST-RS,0,2500,201,50,15,1,.66969045989290520000,742.85385840001730000000,0
Hotspot,0,2500,201,50,15,1,.07035529965159526000,721.67623712580360000000,0
eVST-RS,0,2500,203,50,10,2,.29443535201136230000,1037.94658672930020000000,0
Hotspot,0,2500,203,50,10,2,.08200953560694302000,1177.74388189219640000000,0
eVST-RS,0,2500,203,50,15,2,.07708501595979556000,571.68732135859440000000,0
