Gravitation 2,0,2500,366,20,9.789202841282762,10,1.9939263120247688,1078.0,94,11,0,799,1653,1150,693,634,704,1780,999,1424,267,340,1019,2354,1006,1930,867,626,1362,1679,1915
Gravitation 3,0,2500,366,20,9.789202841282762,10,1.9396799806728353,1046.0,80,5,0,799,1653,1150,693,634,704,1780,999,1424,267,340,1019,2354,1006,1930,867,626,1362,1679,1915
Spiders,0,10000,1513,20,225.97575261860194,1,150.85044224311963,1638.0,129,6,0,4052,6092,4751,9142,5547,2591,6310,2468,7308,5732,6679,961,445,8494,7415,8683,784,1015,8831,7958
Gravitation 2,0,10000,1513,20,225.97575261860194,1,74.15483167286567,2550.0,252,10,0,4052,6092,4751,9142,5547,2591,6310,2468,7308,5732,6679,961,445,8494,7415,8683,784,1015,8831,7958
Gravitation 3,0,10000,1513,20,225.97575261860194,1,73.5917357420708,2344.0,217,7,0,4052,6092,4751,9142,5547,2591,6310,2468,7308,5732,6679,961,445,8494,7415,8683,784,1015,8831,7958
Spiders,0,10000,1513,20,225.97575261860194,2,102.24286304161262,1563.0,125,7,0,2761,5643,3161,4008,199,9154,9345,3873,2994,2391,8950,642,287,3254,5267,2578,5791,8727,2924,257
Gravitation 2,0,10000,1513,20,225.97575261860194,2,49.110503540550326,2050.0,201,8,0,2761,5643,3161,4008,199,9154,9345,3873,2994,2391,8950,642,287,3254,5267,2578,5791,8727,2924,257
Gravitation 3,0,10000,1513,20,225.97575261860194,2,56.71258263192101,2039.0,187,5,0,2761,5643,3161,4008,199,9154,9345,3873,2994,2391,8950,642,287,3254,5267,2578,5791,8727,2924,257
Spiders,0,10000,1513,20,225.97575261860194,3,125.20099896495447,1467.0,113,8,0,623,2428,7814,5372,3924,4694,8877,7233,2816,3756,4580,5325,9102,5331,2215,9118,9207,1382,245,5159
Gravitation 2,0,10000,1513,20,225.97575261860194,3,66.20083553671975,2195.0,213,13,0,623,2428,7814,5372,3924,4694,8877,7233,2816,3756,4580,5325,9102,5331,2215,9118,9207,1382,245,5159
Gravitation 3,0,10000,1513,20,225.97575261860194,3,65.9782056211418,2108.0,198,10,0,623,2428,7814,5372,3924,4694,8877,7233,2816,3756,4580,5325,9102,5331,2215,9118,9207,1382,245,5159
Spiders,0,10000,1513,20,225.97575261860194,4,122.34610784210759,1738.0,134,13,0,1678,9518,2965,1243,4881,3337,8717,5237,2356,4310,5072,8092,6898,4652,268,5103,7799,2816,1791,4281
Gravitation 2,0,10000,1513,20,225.97575261860194,4,60.916822134025324,2161.0,203,10,0,1678,9518,2965,1243,4881,3337,8717,5237,2356,4310,5072,8092,6898,4652,268,5103,7799,2816,1791,4281
Gravitation 3,0,10000,1513,20,225.97575261860194,4,61.019958771872325,1973.0,174,7,0,1678,9518,2965,1243,4881,3337,8717,5237,2356,4310,5072,8092,6898,4652,268,5103,7799,2816,1791,4281
Spiders,0,10000,1513,20,225.97575261860194,5,100.19094457572214,1320.0,101,8,0,861,4017,5813,2375,4444,3241,2083,40,5944,4112,6987,3845,672,171,3723,5577,9046,8012,8469,7737
Gravitation 2,0,10000,1513,20,225.97575261860194,5,62.05221453153331,2351.0,215,7,0,861,4017,5813,2375,4444,3241,2083,40,5944,4112,6987,3845,672,171,3723,5577,9046,8012,8469,7737
Gravitation 3,0,10000,1513,20,225.97575261860194,5,55.70913642783762,2099.0,202,11,0,861,4017,5813,2375,4444,3241,2083,40,5944,4112,6987,3845,672,171,3723,5577,9046,8012,8469,7737
Spiders,0,10000,1513,20,225.97575261860194,6,124.20031643495918,1429.0,99,5,0,5959,1727,1806,7518,8621,7326,1871,4086,6969,4815,7203,8016,6612,2715,4032,7012,1625,4269,1383,6994
Gravitation 2,0,10000,1513,20,225.97575261860194,6,59.92417166754444,2103.0,200,8,0,5959,1727,1806,7518,8621,7326,1871,4086,6969,4815,7203,8016,6612,2715,4032,7012,1625,4269,1383,6994
Gravitation 3,0,10000,1513,20,225.97575261860194,6,60.14345248856989,2025.0,185,11,0,5959,1727,1806,7518,8621,7326,1871,4086,6969,4815,7203,8016,6612,2715,4032,7012,1625,4269,1383,6994
Spiders,0,10000,1513,20,225.97575261860194,7,46.148898122628,1308.0,107,6,0,6939,3049,6780,861,6285,5631,5053,3290,8105,9002,5348,2356,4551,8210,4867,6296,9374,4641,4757,6586
Gravitation 2,0,10000,1513,20,225.97575261860194,7,23.767375303072413,1778.0,175,9,0,6939,3049,6780,861,6285,5631,5053,3290,8105,9002,5348,2356,4551,8210,4867,6296,9374,4641,4757,6586
Gravitation 3,0,10000,1513,20,225.97575261860194,7,23.751104719602154,2059.0,181,9,0,6939,3049,6780,861,6285,5631,5053,3290,8105,9002,5348,2356,4551,8210,4867,6296,9374,4641,4757,6586
Spiders,0,10000,1513,20,225.97575261860194,8,92.68902093855172,1370.0,89,5,0,4722,3285,959,7471,9460,819,2213,4588,9347,3694,895,1475,5968,1255,2254,4319,3650,8365,3335,20
Gravitation 2,0,10000,1513,20,225.97575261860194,8,56.565735257312554,2368.0,212,11,0,4722,3285,959,7471,9460,819,2213,4588,9347,3694,895,1475,5968,1255,2254,4319,3650,8365,3335,20
Gravitation 3,0,10000,1513,20,225.97575261860194,8,49.910137366563504,2217.0,191,7,0,4722,3285,959,7471,9460,819,2213,4588,9347,3694,895,1475,5968,1255,2254,4319,3650,8365,3335,20
Spiders,0,10000,1513,20,225.97575261860194,9,104.00037699025188,1548.0,116,8,0,5224,4143,1440,3813,9021,8410,7040,9133,8736,7467,619,7264,4791,6310,4877,6066,6171,568,3642,3065
Gravitation 2,0,10000,1513,20,225.97575261860194,9,52.970587654773226,2127.0,197,9,0,5224,4143,1440,3813,9021,8410,7040,9133,8736,7467,619,7264,4791,6310,4877,6066,6171,568,3642,3065
Gravitation 3,0,10000,1513,20,225.97575261860194,9,52.158053261814075,2079.0,182,11,0,5224,4143,1440,3813,9021,8410,7040,9133,8736,7467,619,7264,4791,6310,4877,6066,6171,568,3642,3065
Spiders,0,10000,1513,20,225.97575261860194,10,189.21466732880117,1570.0,119,7,0,2590,2594,5542,9145,1499,7958,8375,8416,7768,8702,803,9037,3994,4455,9359,7018,157,3354,6316,7799
Gravitation 2,0,10000,1513,20,225.97575261860194,10,101.9718820537637,2762.0,273,8,0,2590,2594,5542,9145,1499,7958,8375,8416,7768,8702,803,9037,3994,4455,9359,7018,157,3354,6316,7799
Gravitation 3,0,10000,1513,20,225.97575261860194,10,100.67074934608945,2526.0,232,10,0,2590,2594,5542,9145,1499,7958,8375,8416,7768,8702,803,9037,3994,4455,9359,7018,157,3354,6316,7799
