VST-NCA,N/A,uniform,1,2,0.25,1,61.006063798972285,0.0029605463980463963,0.2,0,0.0849530161707745,0.15,4.0
VST-CA,mixed,uniform,1,2,0.25,1,61.006063798972285,0.0029605463980463963,0.2,2,0.11220813733710405,0.15,4.0
VST-NCA,N/A,uniform,1,2,0.25,1,61.006063798972285,0.0029605463980463963,0.2,0,0.0875864317712059,0.15,4.0
VST-CA,mixed,uniform,1,2,0.25,1,61.006063798972285,0.0029605463980463963,0.2,2,0.11074754106644058,0.15,4.0
VST-NCA,N/A,uniform,1,2,0.25,1,61.006063798972285,0.0029605463980463963,0.2,0,0.08692087357868195,0.15,4.0
VST-CA,mixed,uniform,1,2,0.25,1,61.00640498875444,0.0029857295482295467,0.2,3,0.21877363600046107,0.15,4.0
VST-NCA,N/A,uniform,1,2,0.25,1,61.006063798972285,0.0029605463980463963,0.2,0,0.08630544936625917,0.15,4.0
VST-CA,mixed,uniform,1,2,0.25,1,61.006063798972285,0.0029605463980463963,0.2,2,0.1298047695968596,0.15,4.0
VST-NCA,N/A,uniform,1,2,0.25,1,61.006063798972285,0.0029605463980463963,0.2,0,0.08402336638228458,0.15,4.0
VST-CA,mixed,uniform,1,2,0.25,1,61.006063798972285,0.0029605463980463963,0.2,2,0.10927115456582381,0.15,4.0
VST-NCA,N/A,uniform,1,2,0.25,1,61.006063798972285,0.0029605463980463963,0.2,0,0.08600661926439646,0.15,4.0
VST-CA,mixed,uniform,1,2,0.25,1,61.006063798972285,0.0029605463980463963,0.2,2,0.11077438445736076,0.15,4.0
VST-NCA,N/A,uniform,1,2,0.25,1,61.006063798972285,0.0029605463980463963,0.2,0,0.09290892353265323,0.15,4.0
VST-CA,mixed,uniform,1,2,0.25,1,61.00640498875444,0.0029857295482295467,0.2,3,0.21361852067651665,0.15,4.0
VST-NCA,N/A,uniform,1,2,0.25,1,61.006063798972285,0.0029605463980463963,0.2,0,0.09041998853629285,0.15,4.0
VST-CA,mixed,uniform,1,2,0.25,1,61.006063798972285,0.0029605463980463963,0.2,2,0.1152832846204741,0.15,4.0
VST-NCA,N/A,uniform,1,2,0.25,1,61.006063798972285,0.0029605463980463963,0.2,0,0.08530592781022661,0.15,4.0
VST-CA,mixed,uniform,1,2,0.25,1,61.006063798972285,0.0029605463980463963,0.2,2,0.11968362695265933,0.15,4.0
VST-NCA,N/A,uniform,1,2,0.25,1,61.006063798972285,0.0029605463980463963,0.2,0,0.12373776849312268,0.15,4.0
VST-CA,mixed,uniform,1,2,0.25,1,61.006063798972285,0.0029605463980463963,0.2,2,0.17225482904707512,0.15,4.0
VST-NCA,N/A,uniform,1,4,0.25,1,66.0066644921148,0.003249389499389496,0.2,0,0.2515324418169498,0.15,4.0
VST-CA,mixed,uniform,1,4,0.25,1,66.0066644921148,0.003249389499389496,0.2,2,0.23376803836394267,0.15,4.0
VST-NCA,N/A,uniform,1,4,0.25,1,66.0066644921148,0.003249389499389496,0.2,0,0.2009188334809724,0.15,4.0
VST-CA,mixed,uniform,1,4,0.25,1,66.0066644921148,0.003249389499389496,0.2,2,0.24049467632397148,0.15,4.0
VST-NCA,N/A,uniform,1,4,0.25,1,66.0066644921148,0.003249389499389496,0.2,0,0.20120147859713278,0.15,4.0
VST-CA,mixed,uniform,1,4,0.25,1,66.00566648403436,0.0030784493284493264,0.2,3,0.45457585073811435,0.15,4.0
VST-NCA,N/A,uniform,1,4,0.25,1,66.0066644921148,0.003249389499389496,0.2,0,0.21104589746140467,0.15,4.0
VST-CA,mixed,uniform,1,4,0.25,1,66.0066644921148,0.003249389499389496,0.2,2,0.227854992002249,0.15,4.0
VST-NCA,N/A,uniform,1,4,0.25,1,66.0066644921148,0.003249389499389496,0.2,0,0.2092837077986367,0.15,4.0
VST-CA,mixed,uniform,1,4,0.25,1,66.0066644921148,0.003249389499389496,0.2,2,0.23513665654512916,0.15,4.0
VST-NCA,N/A,uniform,1,4,0.25,1,66.0066644921148,0.003249389499389496,0.2,0,0.20746822610977667,0.15,4.0
VST-CA,mixed,uniform,1,4,0.25,1,66.0066644921148,0.003249389499389496,0.2,2,0.2393897549830024,0.15,4.0
VST-NCA,N/A,uniform,1,4,0.25,1,66.0066644921148,0.003249389499389496,0.2,0,0.21809505086822512,0.15,4.0
VST-CA,mixed,uniform,1,4,0.25,1,66.00566648403436,0.0030784493284493264,0.2,3,0.44815751701792017,0.15,4.0
VST-NCA,N/A,uniform,1,4,0.25,1,66.0066644921148,0.003249389499389496,0.2,0,0.20200599081324455,0.15,4.0
VST-CA,mixed,uniform,1,4,0.25,1,66.0066644921148,0.003249389499389496,0.2,2,0.27001609024432227,0.15,4.0
VST-NCA,N/A,uniform,1,4,0.25,1,66.0066644921148,0.003249389499389496,0.2,0,0.22875582462107413,0.15,4.0
VST-CA,mixed,uniform,1,4,0.25,1,66.0066644921148,0.003249389499389496,0.2,2,0.22799710407182605,0.15,4.0
VST-NCA,N/A,uniform,1,4,0.25,1,66.0066644921148,0.003249389499389496,0.2,0,0.20420675411296063,0.15,4.0
VST-CA,mixed,uniform,1,4,0.25,1,66.0066644921148,0.003249389499389496,0.2,2,0.2347020304656695,0.15,4.0
VST-NCA,N/A,uniform,1,8,0.25,2,88.00941179433171,0.004359355921855916,0.2,0,0.9096139604581062,0.15,4.0
VST-CA,mixed,uniform,1,8,0.25,2,88.00941179433171,0.004359355921855916,0.2,2,0.818854876733571,0.15,4.0
VST-NCA,N/A,uniform,1,8,0.25,2,88.00941179433171,0.004359355921855916,0.2,0,0.8319686627096363,0.15,4.0
