Spiders,0,6400,962,6,1,3.3615241775099065,506.0,42,2,0,4589,5184,2120,3866,3673,4654
Gravitation 2,0,6400,962,6,1,2.9877274869711385,273.83088824226434,53,2,0,4589,5184,2120,3866,3673,4654
Gravitation 3,0,6400,962,6,1,3.4407363428866375,263.84331060251316,53,2,0,4589,5184,2120,3866,3673,4654
Spiders,0,6400,962,6,2,6.754063007505863,375.6321111197649,49,1,0,1511,3334,5909,3886,3050,3543
Gravitation 2,0,6400,962,6,2,6.32548114614508,318.3360782905429,69,4,0,1511,3334,5909,3886,3050,3543
Gravitation 3,0,6400,962,6,2,6.640751975152597,318.3360782905429,69,4,0,1511,3334,5909,3886,3050,3543
