VST-NCA,N/A,Quito,628,2,False,0,8,10,N/A,122,4.498368031619473,0.21140046662038786,0.00455891373128556,2.0,2.5,0,11.17872409800687,1.0,4.0,1.371054138123006
VST-CA,mixed,Quito,628,2,False,0,8,10,N/A,122,3.9589815356871676,0.2113002210962501,0.00379358778141122,0.5,2.5,3,23.223294888662828,1.0,4.0,1.3725684619027787
VST-CA,pure,Quito,628,2,False,0,8,10,N/A,122,3.9589815356871676,0.2113002210962501,0.00379358778141122,0.5,2.5,3,32.55777773303947,1.0,4.0,1.3725684619027787
VST-NCA,N/A,Quito,647,2,False,1,8,10,N/A,86,9.075000617444832,0.30558224760973735,0.006009946709044551,2.0,2.5,0,15.693127921394293,1.0,4.0,1.6339956978053627
VST-CA,mixed,Quito,647,2,False,1,8,10,N/A,86,9.075000617444832,0.30558224760973735,0.006009946709044551,2.0,2.5,2,29.584497943551582,1.0,4.0,1.6339956978053627
VST-CA,pure,Quito,647,2,False,1,8,10,N/A,86,9.075000617444832,0.30558224760973735,0.006009946709044551,2.0,2.5,2,38.51882620395689,1.0,4.0,1.6339956978053627
VST-NCA,N/A,Quito,670,2,False,2,8,10,N/A,192,5.886996785034634,0.2082412913012728,0.0056934709249139,2.0,3.0,0,11.009620444243382,1.0,4.0,1.3079448356066974
VST-CA,mixed,Quito,670,2,False,2,8,10,N/A,192,3.042387677087667,0.20876816895299377,0.0073085666944496756,1.0,2.0,3,14.36409183298457,1.0,4.0,1.32420553365985
VST-CA,pure,Quito,670,2,False,2,8,10,N/A,192,3.042387677087667,0.20876816895299377,0.0073085666944496756,1.0,2.0,3,14.87477869346543,1.0,4.0,1.32420553365985
VST-NCA,N/A,Quito,641,2,False,3,8,10,N/A,127,6.445277907424115,0.2435605267842472,0.004268063441553973,2.5,2.5,0,14.871859124895252,1.0,4.0,1.4601336367269127
VST-CA,mixed,Quito,641,2,False,3,8,10,N/A,127,4.045273453584908,0.25327091492162557,0.003858417879534876,1.0,2.0,3,26.214932116872745,1.0,4.0,1.464506077378692
VST-CA,pure,Quito,641,2,False,3,8,10,N/A,127,4.045273453584908,0.25327091492162557,0.003858417879534876,1.0,2.0,3,40.627326309157695,1.0,4.0,1.464506077378692
VST-NCA,N/A,Quito,430,2,False,4,8,10,N/A,109,36.8678699967981,0.3958643709568051,0.03850013531466343,3.5,3.5,0,8.383170874106042,1.0,4.0,1.7060854884954502
VST-CA,mixed,Quito,430,2,False,4,8,10,N/A,109,36.8678699967981,0.3958643709568051,0.03850013531466343,3.5,3.5,2,11.197720241697368,1.0,4.0,1.7060854884954502
VST-CA,pure,Quito,430,2,False,4,8,10,N/A,109,36.8678699967981,0.3958643709568051,0.03850013531466343,3.5,3.5,2,11.629093208687152,1.0,4.0,1.7060854884954502
