0,original,0.0,21303,19,804,69536.00845796031,1.9978929799010625,1.1684383743459288,,2.2855514307120424,5.977889905069887,127,98,9,3380,0
1,original,0.10000000000000001,21303,19,804,74474.07189655412,1.865421073544494,1.204371845891488,,2.215255291756595,4.895885572264995,127,98,9,3380,0
2,original,0.20000000000000001,21303,19,804,80845.76127007593,1.7184018180545155,1.2328960772371143,,2.1505729272325556,4.046940035496156,127,98,9,3380,0
3,original,0.30000000000000004,21303,19,804,85312.56404119334,1.6284295837295355,1.2513261448060087,,1.961270293773421,3.5808611291820096,127,98,9,3380,0
4,original,0.40000000000000002,21303,19,804,87852.7090674007,1.5813456935279708,1.2530677507000967,,1.928933580709731,3.2255217840292545,127,98,9,3380,0
5,original,0.5,21303,19,804,88909.95909465743,1.562541525866564,1.2862412939845886,,1.9181117127632705,2.9421553177916557,127,98,9,3380,0
6,original,0.60000000000000009,21303,19,804,89300.05008291034,1.5557158480819986,1.2645585299726365,,1.880041283811721,3.2071381539472092,127,98,9,3380,0
7,original,0.70000000000000007,21303,19,804,91943.70753607154,1.5109843497881166,1.223546974593465,,1.8449988641890747,2.248627445097803,127,98,9,3380,0
8,original,0.80000000000000004,21303,19,804,93218.3185257432,1.4903240623261629,1.286680304426099,,1.7938494605072206,1.9558417863030328,127,98,9,3380,0
9,original,0.90000000000000002,21303,19,804,94824.76533122669,1.4650761608871636,1.216694478415959,,1.779810746875221,2.1984093837437726,127,98,9,3380,0
10,original,1.0,21303,19,804,94896.41356543112,1.4639700061236836,1.2234007237517357,,1.792976722455695,1.6806143298363523,127,98,9,3380,0
11,random,0.0,21303,19,804,66400.63389643449,2.0922315796741167,1.1457379350777457,,2.4251586424880482,3.7845882256342946,127,98,9,3380,0
12,random,0.10000000000000001,21303,19,804,69476.44984763248,1.9996056714638524,1.167130011950454,,2.337839955408481,4.217175529126429,127,98,9,3380,0
13,random,0.20000000000000001,21303,19,804,69449.54712195443,2.0003802602851333,1.2030725163185514,,2.3818779942635393,3.6965824685618998,127,98,9,3380,0
14,random,0.30000000000000004,21303,19,804,72828.89110704615,1.9075603244363948,1.2565361958918202,,2.3238193196749393,3.49677921327379,127,98,9,3380,0
15,random,0.40000000000000002,21303,19,804,73095.91805213544,1.900591809373153,1.2595452684923185,,2.3159527029187252,2.898595943837755,127,98,9,3380,0
16,random,0.5,21303,19,804,73739.47256669022,1.8840045678771995,1.2752551288149905,,2.2968252566229843,3.7416821672866902,127,98,9,3380,0
17,random,0.60000000000000009,21303,19,804,73872.81352947705,1.8806039260040524,1.2619725878429155,,2.2709872544953487,2.9192940086024493,127,98,9,3380,0
18,random,0.70000000000000007,21303,19,804,77019.27790116511,1.8037757160846897,1.3295216462777528,,2.2561802416325767,2.2541555609592834,127,98,9,3380,0
19,random,0.80000000000000004,21303,19,804,77727.48584632376,1.7873407538637185,1.3637432696537606,,2.2576195376980204,2.0777244247664726,127,98,9,3380,0
20,random,0.90000000000000002,21303,19,804,77727.48584632376,1.7873407538637185,1.3637432696537606,,2.2576195376980204,2.359871894875795,127,98,9,3380,0
21,random,1.0,21303,19,804,77727.48584632376,1.7873407538637185,1.3637432696537606,,2.2576195376980204,1.7047463477486389,127,98,9,3380,0
22,original,0.0,21303,19,804,65801.76512287135,2.047976159019494,1.1647042917751258,,2.3322420655074025,4.650116136224398,127,96,9,3380,1
23,original,0.10000000000000001,21303,19,804,71865.71962124003,1.875170065829443,1.2309897495603308,,2.1914855997210045,4.779728031226512,127,96,9,3380,1
24,original,0.20000000000000001,21303,19,804,77051.17751714039,1.7489732218960947,1.1677984299706088,,2.0286934803342196,4.119544913375478,127,96,9,3380,1
25,original,0.30000000000000004,21303,19,804,79766.69821526084,1.6894324224048025,1.2150652218207887,,2.027495788187351,3.612065535252995,127,96,9,3380,1
26,original,0.40000000000000002,21303,19,804,84528.11323320636,1.5942677653439108,1.2494056474446624,,1.98699273081543,3.1954479494969235,127,96,9,3380,1
27,original,0.5,21303,19,804,84617.08053807897,1.5925915351380708,1.2357606730717283,,1.950433381440265,3.2775797874020327,127,96,9,3380,1
28,original,0.60000000000000009,21303,19,804,86307.14426537229,1.5614054588422857,1.20322841722853,,1.783475974818357,2.581203774466772,127,96,9,3380,1
29,original,0.70000000000000007,21303,19,804,89806.47571023308,1.5005649105734316,1.233026156036418,,1.713510770951152,1.8270201860705981,127,96,9,3380,1
30,original,0.80000000000000004,21303,19,804,92044.6883532354,1.4640762938528011,1.271272826405517,,1.7452423631547807,2.357674306972271,127,96,9,3380,1
31,original,0.90000000000000002,21303,19,804,92111.12004297187,1.4630203837514106,1.2712377919713962,,1.7439455484568578,1.8259101416688281,127,96,9,3380,1
32,original,1.0,21303,19,804,92528.98935768491,1.4564132509013354,1.2706311072611098,,1.7357736457994433,1.4782526827388835,127,96,9,3380,1
33,random,0.0,21303,19,804,65465.59524204327,2.058492643270051,1.0976569166929857,,2.300755085771866,4.511833104903147,127,96,9,3380,1
34,random,0.10000000000000001,21303,19,804,64415.20020484799,2.092059727587382,1.1356082276571244,,2.414732680434396,4.18472804701662,127,96,9,3380,1
35,random,0.20000000000000001,21303,19,804,63690.21889913454,2.115873497097875,1.174465908466914,,2.5153113420038675,4.019058262330489,127,96,9,3380,1
36,random,0.30000000000000004,21303,19,804,64931.90290980918,2.07541193394908,1.1636679421119622,,2.4162484552886023,3.550818480107637,127,96,9,3380,1
37,random,0.40000000000000002,21303,19,804,65396.64255656655,2.060663069613648,1.1571102770830137,,2.3905418903451165,3.783949910627996,127,96,9,3380,1
