0,10,1,0.013725603204140813,116.0,4,2,0,0.026570904563437393,87,3,0,0,18,45,87,65,70,53
0,10,2,0.012510944559931979,88.0,2,1,0,0.028917718226037822,75,2,1,0,48,94,59,80,26,35
0,10,3,0.014324840065339711,82.0,5,1,1,0.02767779531363615,75,1,1,0,58,49,73,44,13,70
0,10,4,0.01330479523705383,75.0,4,1,0,0.025897848668612555,75,4,1,0,38,39,8,13,7,80
0,10,5,0.01425023152333274,77.0,5,1,0,0.027801748129457265,75,5,1,0,22,79,89,8,99,6
1,10,1,0.019905480056623542,93.0,7,2,0,0.03651792065598669,91,5,2,0,57,35,41,81,2,85
1,10,2,0.019125445776169647,85.0,5,1,1,0.035425635810836964,67,1,1,0,93,36,46,80,27,72
1,10,3,0.019293216307137706,60.0,8,1,0,0.03776810717734175,61,8,1,0,28,2,99,13,41,36
1,10,4,0.01902044116149315,81.0,6,0,0,0.03658029181808781,71,5,0,0,40,18,97,38,63,46
1,10,5,0.018644240417934166,68.0,7,1,0,0.035699595219053026,64,5,0,0,89,2,98,28,78,75
2,10,1,0.023597616000492705,71.0,4,2,0,0.04915321278593032,63,3,1,0,28,80,73,46,62,54
