VST-NCA,N/A,zipfian,400,8,9,False,0,16,8,0.1,1,827.554931640625,0.19820038910505774,0.0012159533073929961,0.625,0.625,0,9.75629884551101,1.0,4.0
VST-NCA,N/A,uniform,400,8,9,False,0,16,8,0.1,1,812.904296875,0.2069327731092431,0.0015756302521008404,0.75,0.75,0,9.43578150054357,1.0,4.0
VST-CA,mixed,zipfian,400,8,9,False,0,16,8,0.1,1,824.420166015625,0.19221698113207722,0.0011792452830188679,0.625,0.625,3,20.438542784305643,1.0,4.0
VST-CA,mixed,uniform,400,8,9,False,0,16,8,0.1,1,798.783203125,0.1901544401544414,0.0012065637065637065,0.625,0.625,5,33.83016545596512,1.0,4.0
VST-CA,pure,zipfian,400,8,9,False,0,16,8,0.1,1,824.713134765625,0.19591346153846093,0.001201923076923077,0.625,0.625,3,26.462662864424317,1.0,4.0
VST-CA,pure,uniform,400,8,9,False,0,16,8,0.1,1,797.3916015625,0.18726235741444866,0.001188212927756654,0.625,0.625,4,36.5123924204636,1.0,4.0
VST-NCA,N/A,zipfian,400,8,9,False,1,16,8,0.1,1,807.097900390625,0.1916986564299444,0.0011996161228406909,0.625,0.625,0,9.557969589956258,1.0,4.0
VST-NCA,N/A,uniform,400,8,9,False,1,16,8,0.1,1,818.432373046875,0.2105949895615855,0.0013048016701461378,0.625,0.625,0,9.978664099205673,1.0,4.0
VST-CA,mixed,zipfian,400,8,9,False,1,16,8,0.1,1,804.600341796875,0.18598696461825034,0.000931098696461825,0.5,0.5,3,18.95051203161799,1.0,4.0
VST-CA,mixed,uniform,400,8,9,False,1,16,8,0.1,1,813.722900390625,0.1966374269005861,0.0009746588693957114,0.5,0.5,3,17.49186299611327,1.0,4.0
VST-CA,pure,zipfian,400,8,9,False,1,16,8,0.1,1,804.915283203125,0.18598696461825023,0.000931098696461825,0.5,0.5,4,34.432980346923046,1.0,4.0
VST-CA,pure,uniform,400,8,9,False,1,16,8,0.1,1,813.722900390625,0.1966374269005861,0.0009746588693957114,0.5,0.5,3,26.818626092572288,1.0,4.0
VST-NCA,N/A,zipfian,400,8,9,False,2,16,8,0.1,1,826.887451171875,0.20697556008146573,0.0012729124236252544,0.625,0.625,0,13.217620345786116,1.0,4.0
VST-NCA,N/A,uniform,400,8,9,False,2,16,8,0.1,1,813.413330078125,0.20526584867075642,0.001278118609406953,0.625,0.625,0,11.345081914795344,1.0,4.0
VST-CA,mixed,zipfian,400,8,9,False,2,16,8,0.1,1,818.720947265625,0.1928368121442143,0.0009487666034155598,0.5,0.5,3,21.0374500343828,1.0,4.0
VST-CA,mixed,uniform,400,8,9,False,2,16,8,0.1,1,809.699951171875,0.18903013182674316,0.0009416195856873823,0.5,0.5,5,22.055125408468655,1.0,4.0
VST-CA,pure,zipfian,400,8,9,False,2,16,8,0.1,1,816.985107421875,0.18959888059701585,0.0006996268656716418,0.375,0.375,4,38.43051946872822,1.0,4.0
VST-CA,pure,uniform,400,8,9,False,2,16,8,0.1,1,809.223876953125,0.18553604436229346,0.0009242144177449168,0.5,0.5,4,34.454609153014246,1.0,4.0
VST-NCA,N/A,zipfian,400,8,9,False,3,16,8,0.1,1,851.882080078125,0.21751559251559122,0.0012993762993762994,0.625,0.625,0,11.447952860405735,1.0,4.0
VST-NCA,N/A,uniform,400,8,9,False,3,16,8,0.1,1,826.6279296875,0.21066252587991804,0.0012939958592132505,0.625,0.625,0,9.005352035060184,1.0,4.0
VST-CA,mixed,zipfian,400,8,9,False,3,16,8,0.1,1,847.245849609375,0.20800198807157025,0.0012425447316103378,0.625,0.625,3,19.380732673783257,1.0,4.0
VST-CA,mixed,uniform,400,8,9,False,3,16,8,0.1,1,822.2919921875,0.20188492063492,0.000992063492063492,0.5,0.5,3,18.140380192654334,1.0,4.0
VST-CA,pure,zipfian,400,8,9,False,3,16,8,0.1,1,847.399658203125,0.20636094674556296,0.001232741617357002,0.625,0.625,4,36.283258764855475,1.0,4.0
VST-CA,pure,uniform,400,8,9,False,3,16,8,0.1,1,822.4970703125,0.1999017681728865,0.0012278978388998035,0.625,0.625,3,27.440645623276453,1.0,4.0
VST-NCA,N/A,zipfian,400,8,9,False,4,16,8,0.1,1,847.61328125,0.20634920634920573,0.001240079365079365,0.625,0.625,0,11.957680316369306,1.0,4.0
VST-NCA,N/A,uniform,400,8,9,False,4,16,8,0.1,1,825.612060546875,0.20988612836439052,0.0012939958592132505,0.625,0.625,0,9.799970551569913,1.0,4.0
VST-CA,mixed,zipfian,400,8,9,False,4,16,8,0.1,1,838.6484375,0.188065099457506,0.0011301989150090416,0.625,0.625,3,19.672450559401796,1.0,4.0
VST-CA,mixed,uniform,400,8,9,False,4,16,8,0.1,1,823.041259765625,0.203156312625249,0.00125250501002004,0.625,0.625,4,22.84604787067326,1.0,4.0
VST-CA,pure,zipfian,400,8,9,False,4,16,8,0.1,1,837.1689453125,0.18538324420677357,0.00089126559714795,0.5,0.5,4,37.50268233354734,1.0,4.0
