0, 100, 13, 5, 1, 0.012295014017721305, 61.0, 2, 0, 0, 0.01921347596065406, 64, 2, 0, 0, 55, 89, 88, 72, 32, 0, 0, 0, 0, 0
0, 100, 13, 5, 2, 0.013109391912749853, 68.0, 1, 0, 0, 0.020015616475776696, 68, 1, 0, 0, 14, 3, 76, 88, 19, 0, 0, 0, 0, 0
0, 100, 13, 5, 3, 0.013252687683906111, 107.0, 3, 2, 0, 0.019613756709834354, 72, 1, 0, 0, 49, 96, 13, 77, 36, 0, 0, 0, 0, 0
0, 100, 13, 5, 4, 0.013388088371252105, 78.0, 3, 0, 0, 0.01918821169246121, 71, 1, 0, 0, 17, 63, 98, 7, 96, 0, 0, 0, 0, 0
0, 100, 13, 5, 5, 0.014244310210475036, 79.0, 3, 0, 0, 0.020706041554984123, 75, 2, 0, 0, 89, 74, 2, 58, 42, 0, 0, 0, 0, 0
0, 100, 13, 5, 6, 0.014162201338848296, 82.0, 3, 1, 1, 0.020186939794459374, 53, 0, 0, 0, 89, 44, 31, 46, 32, 0, 0, 0, 0, 0
0, 100, 13, 5, 7, 0.013115707979798052, 84.0, 4, 0, 0, 0.018916620809388218, 68, 2, 0, 0, 85, 40, 48, 20, 38, 0, 0, 0, 0, 0
0, 100, 13, 5, 8, 0.014708541138518438, 77.0, 4, 2, 0, 0.02590890178594693, 72, 2, 1, 0, 48, 12, 62, 1, 86, 0, 0, 0, 0, 0
0, 100, 13, 5, 9, 0.013621782852035857, 66.0, 3, 1, 0, 0.021627397835641715, 63, 2, 1, 0, 62, 5, 85, 92, 93, 0, 0, 0, 0, 0
0, 100, 13, 5, 10, 0.011756174547670917, 72.0, 3, 0, 0, 0.018297251484473143, 65, 1, 1, 0, 85, 11, 33, 90, 14, 0, 0, 0, 0, 0
0, 100, 13, 6, 1, 0.014188255115422155, 84.0, 3, 1, 0, 0.0259807470486203, 70, 2, 0, 0, 59, 96, 26, 79, 23, 47, 0, 0, 0, 0
0, 100, 13, 6, 2, 0.012650687543373618, 78.0, 4, 2, 0, 0.026955789899187677, 71, 4, 1, 0, 83, 9, 70, 42, 53, 19, 0, 0, 0, 0
0, 100, 13, 6, 3, 0.013195053572091164, 110.0, 3, 1, 0, 0.02644853076437831, 74, 1, 0, 0, 6, 37, 97, 26, 92, 47, 0, 0, 0, 0
0, 100, 13, 6, 4, 0.013401115259539076, 86.0, 5, 0, 1, 0.026944342027662826, 65, 0, 0, 0, 59, 5, 64, 75, 97, 66, 0, 0, 0, 0
0, 100, 13, 6, 5, 0.014174438718754123, 102.0, 4, 0, 0, 0.027487129039618252, 86, 2, 0, 0, 60, 77, 8, 71, 29, 97, 0, 0, 0, 0
0, 100, 13, 6, 6, 0.012315935989818505, 64.0, 0, 0, 0, 0.026523534060575837, 54, 0, 0, 0, 69, 46, 30, 48, 79, 59, 0, 0, 0, 0
0, 100, 13, 6, 7, 0.013838897656818006, 121.0, 6, 1, 0, 0.0268417059381294, 84, 4, 1, 0, 40, 72, 46, 95, 45, 89, 0, 0, 0, 0
0, 100, 13, 6, 8, 0.014051275411314124, 60.0, 3, 1, 1, 0.03630633240987169, 52, 2, 1, 0, 53, 25, 21, 12, 34, 92, 0, 0, 0, 0
0, 100, 13, 6, 9, 0.02130804169551659, 38.0, 0, 0, 0, 0.03392754365783979, 29, 0, 0, 0, 24, 12, 34, 33, 14, 36, 0, 0, 0, 0
0, 100, 13, 6, 10, 0.015282118977334003, 99.0, 5, 0, 0, 0.03283762733783302, 94, 2, 0, 0, 46, 9, 30, 99, 54, 24, 0, 0, 0, 0
0, 100, 13, 7, 1, 0.01634084971629024, 74.0, 3, 1, 0, 0.05232861549441781, 57, 1, 0, 0, 31, 75, 94, 50, 64, 44, 86, 0, 0, 0
