0,10,1,0.035420898760550795,116.0,4,2,0,0.0633923911919287,87,3,0,0,18,45,87,65,70,53
0,10,2,0.03524957544186812,88.0,2,1,0,0.061747845234251086,75,2,1,0,48,94,59,80,26,35
0,10,3,0.03686214631011414,82.0,5,1,1,0.06452336194774874,75,1,1,0,58,49,73,44,13,70
0,10,4,0.04581635561352304,75.0,4,1,0,0.06227484207858608,75,4,1,0,38,39,8,13,7,80
0,10,5,0.037436513657310766,77.0,5,1,0,0.06592592358664179,75,5,1,0,22,79,89,8,99,6
0,20,1,0.7724127612976674,147.0,11,2,2,0.906297592552094,135,7,2,0,120,150,210,7,311,177
0,20,2,0.7082936276410043,59.0,4,0,0,0.90063997549366,56,4,0,0,26,248,132,109,89,26
0,20,3,0.7051032242732775,104.0,7,0,0,0.8520299444738759,103,6,0,0,188,243,111,83,78,146
0,20,4,0.8845213723866285,161.0,10,1,2,1.0225294111609644,164,11,1,0,121,96,347,292,358,383
0,20,5,0.7193297705451798,105.0,4,1,1,1.14822111919129,96,2,1,0,387,146,205,51,49,31
0,30,1,4.481542478314179,264.0,13,1,0,4.3032809599790305,228,13,2,0,11,855,358,566,181,587
0,30,2,3.8421385887221895,222.0,13,1,1,4.394093371998192,181,9,0,0,296,607,515,503,701,130
0,30,3,3.805079065316818,231.0,16,1,0,4.340991433044557,202,9,0,0,258,281,814,389,16,114
0,30,4,3.928090392393557,230.0,10,2,0,4.425516989825603,217,13,0,0,136,721,120,370,604,590
0,30,5,3.7958726080856664,142.0,8,1,1,4.411372947179515,138,8,1,0,440,518,589,568,771,492
0,40,1,14.660942862488966,255.0,13,1,1,14.839492156628992,232,7,1,0,1269,920,542,1271,746,1592
0,40,2,13.29804888793798,363.0,17,0,1,14.849171134626175,304,15,2,0,220,68,69,1196,1365,762
0,40,3,13.07846173766059,300.0,23,1,0,14.637800398070127,281,16,2,0,920,1160,492,122,1392,1402
0,40,4,13.248945414180042,299.0,12,1,0,14.759012040792328,286,11,0,0,414,288,1365,185,1361,1150
0,40,5,13.136251382626568,301.0,14,0,0,14.670128397748016,271,8,0,0,1169,1355,402,675,826,597
1,10,1,0.14228875321626333,93.0,7,2,0,0.10639730746063947,91,5,2,0,57,35,41,81,2,85
1,10,2,0.07836028583361099,85.0,5,1,1,0.11469543529941006,67,1,1,0,93,36,46,80,27,72
1,10,3,0.08130870488255937,60.0,8,1,0,0.1378572426735616,61,8,1,0,28,2,99,13,41,36
1,10,4,0.05466319177710943,81.0,6,0,0,0.09351687297836975,71,5,0,0,40,18,97,38,63,46
1,10,5,0.04927045478049763,68.0,7,1,0,0.09396412947620547,64,5,0,0,89,2,98,28,78,75
1,20,1,0.7752186740838454,160.0,12,2,0,0.9464208032300405,129,9,1,0,121,274,230,330,380,146
1,20,2,0.7828678260333959,170.0,8,1,0,0.9304000991622559,146,4,0,0,153,305,293,20,296,308
1,20,3,0.7707721628819115,158.0,12,2,1,1.0293211570087522,139,7,2,0,238,18,335,179,293,30
1,20,4,0.7495280713652335,118.0,7,0,0,0.9245312886119166,118,6,0,0,296,201,324,254,336,399
1,20,5,0.7825362325133653,155.0,12,3,0,0.9122339060690194,137,15,2,0,319,115,219,276,361,262
1,30,1,4.079944829154357,269.0,16,1,0,4.72939916043677,260,12,1,1,806,18,583,693,271,876
1,30,2,4.059157862990304,250.0,8,3,0,4.738754045243553,208,6,0,0,52,686,737,882,458,53
1,30,3,4.063169749828489,217.0,10,0,0,4.68871421454574,191,6,0,0,515,152,171,666,888,513
1,30,4,4.112587053167857,154.0,7,1,1,4.7163055586916585,123,6,1,0,485,254,262,274,546,543
1,30,5,4.0135921762877445,192.0,7,2,0,4.791531496252617,172,7,2,0,480,488,848,354,427,563
1,40,1,13.64475438789023,277.0,7,1,1,14.303518996755884,262,9,0,0,1181,1456,690,214,913,224
1,40,2,13.216084101590809,268.0,11,0,0,14.116969219436783,249,9,1,0,928,206,641,1429,1246,1280
1,40,3,13.335802783964482,283.0,13,3,0,14.336120955842034,266,9,1,0,1404,1100,21,1499,1204,1592
1,40,4,12.97592552093738,301.0,14,2,1,14.196588771138124,279,12,3,0,1474,1371,1112,1247,568,137
1,40,5,12.999311153937583,365.0,16,2,0,14.375811515927126,339,15,3,0,637,1236,1293,1200,367,1440
2,10,1,0.158364722870715,71.0,4,2,0,0.09262157047430719,63,3,1,0,28,80,73,46,62,54
