Spiders,0,400,65,20,0.214805887521899,1,0.2583914872048324,395.0,21,5,0,262,253,152,66,72,274,235,239,328,379,181,361,14,107,2,221,201,271,278,20
Gravitation 2,0,400,65,20,0.214805887521899,1,0.14316866030691355,461.0,26,7,0,262,253,152,66,72,274,235,239,328,379,181,361,14,107,2,221,201,271,278,20
Gravitation 3,0,400,65,20,0.214805887521899,1,0.14928616599729527,457.0,25,6,0,262,253,152,66,72,274,235,239,328,379,181,361,14,107,2,221,201,271,278,20
Spiders,0,400,65,20,0.214805887521899,2,0.23843942615372837,409.0,22,3,0,107,60,28,26,156,62,283,23,336,272,225,206,221,278,391,217,100,290,331,12
Gravitation 2,0,400,65,20,0.214805887521899,2,0.13644323316314155,409.0,25,5,0,107,60,28,26,156,62,283,23,336,272,225,206,221,278,391,217,100,290,331,12
Gravitation 3,0,400,65,20,0.214805887521899,2,0.13063284623297933,412.0,20,4,0,107,60,28,26,156,62,283,23,336,272,225,206,221,278,391,217,100,290,331,12
Spiders,0,400,65,20,0.214805887521899,3,0.2227132087120669,468.0,21,3,0,253,377,1,333,108,372,63,133,47,347,136,381,43,322,220,65,330,22,26,265
Gravitation 2,0,400,65,20,0.214805887521899,3,0.13592176287747382,399.0,23,4,0,253,377,1,333,108,372,63,133,47,347,136,381,43,322,220,65,330,22,26,265
Gravitation 3,0,400,65,20,0.214805887521899,3,0.14407462117414105,450.0,24,7,0,253,377,1,333,108,372,63,133,47,347,136,381,43,322,220,65,330,22,26,265
Spiders,0,400,65,20,0.214805887521899,4,0.2381015165666489,319.0,15,3,0,171,323,345,199,184,251,108,270,64,134,309,252,291,125,281,124,143,127,310,30
Gravitation 2,0,400,65,20,0.214805887521899,4,0.12630870883009893,315.0,23,1,0,171,323,345,199,184,251,108,270,64,134,309,252,291,125,281,124,143,127,310,30
Gravitation 3,0,400,65,20,0.214805887521899,4,0.11694237615179404,315.0,21,2,0,171,323,345,199,184,251,108,270,64,134,309,252,291,125,281,124,143,127,310,30
Spiders,0,400,65,20,0.214805887521899,5,0.26255614391474547,390.0,23,6,0,333,221,345,27,211,81,0,56,212,335,29,278,294,287,381,135,48,357,6,387
Gravitation 2,0,400,65,20,0.214805887521899,5,0.14818717033090678,425.0,28,6,0,333,221,345,27,211,81,0,56,212,335,29,278,294,287,381,135,48,357,6,387
Gravitation 3,0,400,65,20,0.214805887521899,5,0.16085049000837648,464.0,30,4,0,333,221,345,27,211,81,0,56,212,335,29,278,294,287,381,135,48,357,6,387
Spiders,0,400,65,20,0.214805887521899,6,0.257009452783846,369.0,18,4,0,193,27,286,335,232,192,31,132,41,134,74,203,328,150,322,329,243,278,138,390
Gravitation 2,0,400,65,20,0.214805887521899,6,0.13800527549500208,421.0,29,7,0,193,27,286,335,232,192,31,132,41,134,74,203,328,150,322,329,243,278,138,390
Gravitation 3,0,400,65,20,0.214805887521899,6,0.1304765235735359,395.0,22,3,0,193,27,286,335,232,192,31,132,41,134,74,203,328,150,322,329,243,278,138,390
Spiders,0,400,65,20,0.214805887521899,7,0.2555610996588533,459.0,24,5,0,347,257,22,64,399,214,275,356,61,3,267,33,172,107,48,265,81,268,164,361
Gravitation 2,0,400,65,20,0.214805887521899,7,0.13829581457921947,469.0,29,8,0,347,257,22,64,399,214,275,356,61,3,267,33,172,107,48,265,81,268,164,361
Gravitation 3,0,400,65,20,0.214805887521899,7,0.13982153952555354,508.0,30,7,0,347,257,22,64,399,214,275,356,61,3,267,33,172,107,48,265,81,268,164,361
Spiders,0,400,65,20,0.214805887521899,8,0.19928099471739902,294.0,18,6,0,55,316,145,331,199,45,356,123,368,209,395,165,337,310,105,56,117,128,315,238
Gravitation 2,0,400,65,20,0.214805887521899,8,0.13158183530697265,327.0,23,6,0,55,316,145,331,199,45,356,123,368,209,395,165,337,310,105,56,117,128,315,238
Gravitation 3,0,400,65,20,0.214805887521899,8,0.12443796872125734,296.0,16,5,0,55,316,145,331,199,45,356,123,368,209,395,165,337,310,105,56,117,128,315,238
Spiders,0,400,65,20,0.214805887521899,9,0.18782601761709028,303.0,21,4,0,176,114,150,317,238,371,148,289,373,394,376,245,11,348,85,172,223,304,54,287
Gravitation 2,0,400,65,20,0.214805887521899,9,0.14232783388112047,341.0,24,4,0,176,114,150,317,238,371,148,289,373,394,376,245,11,348,85,172,223,304,54,287
Gravitation 3,0,400,65,20,0.214805887521899,9,0.12403176665921922,356.0,23,8,0,176,114,150,317,238,371,148,289,373,394,376,245,11,348,85,172,223,304,54,287
Spiders,0,400,65,20,0.214805887521899,10,0.2037973774110604,300.0,18,6,0,57,336,32,275,330,176,293,165,171,221,177,51,227,162,193,29,366,90,286,106
Gravitation 2,0,400,65,20,0.214805887521899,10,0.13206264591101746,327.0,22,8,0,57,336,32,275,330,176,293,165,171,221,177,51,227,162,193,29,366,90,286,106
Gravitation 3,0,400,65,20,0.214805887521899,10,0.13223278496712876,370.0,22,7,0,57,336,32,275,330,176,293,165,171,221,177,51,227,162,193,29,366,90,286,106
