['VST-CA', 'pure', 'uniform', 900, '(16, 64)', False, 1, 8, 8, 0.25, 2, 572.0205170024143, 0.023512830394836308, 0.25, '50(*)', 122.75763856566732, 0.22, 4.0]
	sample: 2
['VST-NCA', 'N/A', 'zipfian', 900, '(16, 64)', False, 2, 8, 8, 0.25, 2, 573.0514607498521, 0.02420094755694459, 0.3333333333333333, 0, 4.788798361161298, 0.22, 4.0]
['VST-NCA', 'N/A', 'uniform', 900, '(16, 64)', False, 2, 8, 8, 0.25, 2, 512.0358674668585, 0.021606555066307338, 0.3, 0, 2.9552434267616263, 0.22, 4.0]
['VST-CA', 'pure', 'zipfian', 900, '(16, 64)', False, 2, 8, 8, 0.25, 2, 575.0111180540399, 0.023465286339739124, 0.2, '50(*)', 234.51890570981527, 0.22, 4.0]
['VST-CA', 'pure', 'uniform', 900, '(16, 64)', False, 2, 8, 8, 0.25, 2, 506.0098697539916, 0.020691287813365277, 0.18181818181818182, '50(*)', 123.21659960476154, 0.22, 4.0]
	sample: 3
['VST-NCA', 'N/A', 'zipfian', 900, '(16, 64)', False, 3, 8, 8, 0.25, 2, 560.0339423275221, 0.023325214862793535, 0.2727272727272727, 0, 3.382239003806035, 0.22, 4.0]
['VST-NCA', 'N/A', 'uniform', 900, '(16, 64)', False, 3, 8, 8, 0.25, 2, 559.0373251055438, 0.023473865817132004, 0.2727272727272727, 0, 2.8255075057845715, 0.22, 4.0]
['VST-CA', 'pure', 'zipfian', 900, '(16, 64)', False, 3, 8, 8, 0.25, 2, 560.007422271518, 0.022962141122304387, 0.2, '50(*)', 147.89497341043784, 0.22, 4.0]
['VST-CA', 'pure', 'uniform', 900, '(16, 64)', False, 3, 8, 8, 0.25, 2, 561.008751909342, 0.023167194326516878, 0.2, '50(*)', 113.44182446013929, 0.22, 4.0]
	sample: 4
['VST-NCA', 'N/A', 'zipfian', 900, '(16, 64)', False, 4, 8, 8, 0.25, 2, 563.0269344391387, 0.02329869789969067, 0.25, 0, 2.5808953367302365, 0.22, 4.0]
['VST-NCA', 'N/A', 'uniform', 900, '(16, 64)', False, 4, 8, 8, 0.25, 2, 539.021178657989, 0.022577282654615255, 0.2, 0, 3.171976454010064, 0.22, 4.0]
['VST-CA', 'pure', 'zipfian', 900, '(16, 64)', False, 4, 8, 8, 0.25, 2, 562.0084267411678, 0.022662146690183876, 0.18181818181818182, '50(*)', 84.37974964809814, 0.22, 4.0]
['VST-CA', 'pure', 'uniform', 900, '(16, 64)', False, 4, 8, 8, 0.25, 2, 539.0109444202368, 0.021848134477845095, 0.2, '50(*)', 115.76642597592127, 0.22, 4.0]
(nq, nu, np): (8, 16, 4)
	sample: 0
['VST-NCA', 'N/A', 'zipfian', 900, '(16, 64)', False, 0, 8, 16, 0.25, 4, 771.1064666000883, 0.032077252064507726, 0.3333333333333333, 0, 5.27634362858862, 0.22, 4.0]
['VST-NCA', 'N/A', 'uniform', 900, '(16, 64)', False, 0, 8, 16, 0.25, 4, 796.0413076431612, 0.033074947145287026, 0.21428571428571427, 0, 9.671748352873692, 0.22, 4.0]
['VST-CA', 'pure', 'zipfian', 900, '(16, 64)', False, 0, 8, 16, 0.25, 4, 775.0285006827354, 0.03181449917491323, 0.21052631578947367, '50(*)', 264.3465243698738, 0.22, 4.0]
['VST-CA', 'pure', 'uniform', 900, '(16, 64)', False, 0, 8, 16, 0.25, 4, 803.0194171992039, 0.03318955121720134, 0.2, '50(*)', 408.97003587525387, 0.22, 4.0]
	sample: 1
['VST-NCA', 'N/A', 'zipfian', 900, '(16, 64)', False, 1, 8, 16, 0.25, 4, 732.0592396603042, 0.030597556623832282, 0.3333333333333333, 0, 4.638571312010299, 0.22, 4.0]
['VST-NCA', 'N/A', 'uniform', 900, '(16, 64)', False, 1, 8, 16, 0.25, 4, 721.0549017940328, 0.030113828224549267, 0.3, 0, 3.0185903708988917, 0.22, 4.0]
['VST-CA', 'pure', 'zipfian', 900, '(16, 64)', False, 1, 8, 16, 0.25, 4, 734.024712938277, 0.030101629292205116, 0.23076923076923078, '50(*)', 237.97461739818937, 0.22, 4.0]
['VST-CA', 'pure', 'uniform', 900, '(16, 64)', False, 1, 8, 16, 0.25, 4, 717.0220478517618, 0.029606702444323747, 0.21428571428571427, '50(*)', 114.93367414226032, 0.22, 4.0]
	sample: 2
['VST-NCA', 'N/A', 'zipfian', 900, '(16, 64)', False, 2, 8, 16, 0.25, 4, 858.0718221571274, 0.035665226080180065, 0.3, 0, 7.729888227877382, 0.22, 4.0]
['VST-NCA', 'N/A', 'uniform', 900, '(16, 64)', False, 2, 8, 16, 0.25, 4, 782.0683827969215, 0.03277986829764336, 0.3, 0, 5.7333007645625, 0.22, 4.0]
['VST-CA', 'pure', 'zipfian', 900, '(16, 64)', False, 2, 8, 16, 0.25, 4, 845.0244229841841, 0.03470631195696569, 0.25, '50(*)', 352.99014982832114, 0.22, 4.0]
['VST-CA', 'pure', 'uniform', 900, '(16, 64)', False, 2, 8, 16, 0.25, 4, 787.0301012337686, 0.032387245964498435, 0.21428571428571427, '50(*)', 266.04736498285774, 0.22, 4.0]
	sample: 3
['VST-NCA', 'N/A', 'zipfian', 900, '(16, 64)', False, 3, 8, 16, 0.25, 4, 791.1118770323291, 0.03273819618140092, 0.36363636363636365, 0, 6.564084103377809, 0.22, 4.0]
['VST-NCA', 'N/A', 'uniform', 900, '(16, 64)', False, 3, 8, 16, 0.25, 4, 729.044319857434, 0.030252091960149382, 0.3, 0, 3.8318035076772503, 0.22, 4.0]
['VST-CA', 'pure', 'zipfian', 900, '(16, 64)', False, 3, 8, 16, 0.25, 4, 796.029467421953, 0.032452582091940865, 0.2727272727272727, '50(*)', 324.12701051009935, 0.22, 4.0]
['VST-CA', 'pure', 'uniform', 900, '(16, 64)', False, 3, 8, 16, 0.25, 4, 734.0198091935903, 0.030307937876329395, 0.2, '50(*)', 117.162068294866, 0.22, 4.0]
	sample: 4
['VST-NCA', 'N/A', 'zipfian', 900, '(16, 64)', False, 4, 8, 16, 0.25, 4, 815.1049277192757, 0.03395342203712002, 0.3333333333333333, 0, 5.29434796687292, 0.22, 4.0]
['VST-NCA', 'N/A', 'uniform', 900, '(16, 64)', False, 4, 8, 16, 0.25, 4, 763.0591679553071, 0.03186707956478149, 0.3, 0, 4.266001333197892, 0.22, 4.0]
['VST-CA', 'pure', 'zipfian', 900, '(16, 64)', False, 4, 8, 16, 0.25, 4, 799.0201634244364, 0.032828057335236686, 0.2, '50(*)', 206.97529374756596, 0.22, 4.0]
['VST-CA', 'pure', 'uniform', 900, '(16, 64)', False, 4, 8, 16, 0.25, 4, 751.0311516825235, 0.030728115354529767, 0.25, '50(*)', 122.60206281428054, 0.22, 4.0]
(nq, nu, np): (16, 4, 1)
	sample: 0
['VST-NCA', 'N/A', 'zipfian', 900, '(16, 64)', False, 0, 16, 4, 0.25, 1, 763.0441697890665, 0.03148341586115139, 0.2727272727272727, 0, 3.902262896694083, 0.22, 4.0]
['VST-NCA', 'N/A', 'uniform', 900, '(16, 64)', False, 0, 16, 4, 0.25, 1, 743.0747986678764, 0.030508091997362714, 0.3, 0, 2.9039368357416606, 0.22, 4.0]
['VST-CA', 'pure', 'zipfian', 900, '(16, 64)', False, 0, 16, 4, 0.25, 1, 763.0174386054188, 0.030940261781245933, 0.21428571428571427, '50(*)', 107.52823707328571, 0.22, 4.0]
['VST-CA', 'pure', 'uniform', 900, '(16, 64)', False, 0, 16, 4, 0.25, 1, 742.0124305315928, 0.030250875789335108, 0.2, '50(*)', 90.56697064756554, 0.22, 4.0]
	sample: 1
['VST-NCA', 'N/A', 'zipfian', 900, '(16, 64)', False, 1, 16, 4, 0.25, 1, 753.0723619605908, 0.031183453920589493, 0.3, 0, 7.314548644555543, 0.22, 4.0]
['VST-NCA', 'N/A', 'uniform', 900, '(16, 64)', False, 1, 16, 4, 0.25, 1, 729.0446799201146, 0.03004579803314712, 0.3, 0, 3.7042290309882446, 0.22, 4.0]
['VST-CA', 'pure', 'zipfian', 900, '(16, 64)', False, 1, 16, 4, 0.25, 1, 753.0138479778781, 0.030865001646535065, 0.2, '50(*)', 103.49219196211561, 0.22, 4.0]
['VST-CA', 'pure', 'uniform', 900, '(16, 64)', False, 1, 16, 4, 0.25, 1, 729.0305214203366, 0.029575116738829635, 0.2727272727272727, '50(*)', 98.46856540549925, 0.22, 4.0]
	sample: 2
['VST-NCA', 'N/A', 'zipfian', 900, '(16, 64)', False, 2, 16, 4, 0.25, 1, 792.0686563546705, 0.03269366254413478, 0.3, 0, 3.6600051213708866, 0.22, 4.0]
['VST-NCA', 'N/A', 'uniform', 900, '(16, 64)', False, 2, 16, 4, 0.25, 1, 734.0751123591758, 0.03031406274126713, 0.3, 0, 3.7479469614827394, 0.22, 4.0]
['VST-CA', 'pure', 'zipfian', 900, '(16, 64)', False, 2, 16, 4, 0.25, 1, 790.0296751305043, 0.03210738200202526, 0.3, '50(*)', 95.57312758217358, 0.22, 4.0]
['VST-CA', 'pure', 'uniform', 900, '(16, 64)', False, 2, 16, 4, 0.25, 1, 734.0150495712696, 0.03000371154028926, 0.2, '50(*)', 103.9965443575893, 0.22, 4.0]
	sample: 3
['VST-NCA', 'N/A', 'zipfian', 900, '(16, 64)', False, 3, 16, 4, 0.25, 1, 724.0661195851397, 0.03013751228220896, 0.3, 0, 3.5693281202775324, 0.22, 4.0]
['VST-NCA', 'N/A', 'uniform', 900, '(16, 64)', False, 3, 16, 4, 0.25, 1, 705.0369985305199, 0.029383081372245344, 0.3, 0, 3.537831689584891, 0.22, 4.0]
['VST-CA', 'pure', 'zipfian', 900, '(16, 64)', False, 3, 16, 4, 0.25, 1, 724.0137423622298, 0.02944363050139964, 0.2, '50(*)', 89.10362924559377, 0.22, 4.0]
['VST-CA', 'pure', 'uniform', 900, '(16, 64)', False, 3, 16, 4, 0.25, 1, 705.0146497751012, 0.028935943474616352, 0.2, '50(*)', 93.18190924499868, 0.22, 4.0]
	sample: 4
['VST-NCA', 'N/A', 'zipfian', 900, '(16, 64)', False, 4, 16, 4, 0.25, 1, 748.0555228470577, 0.031008215257908193, 0.3, 0, 3.6911387455302247, 0.22, 4.0]
['VST-NCA', 'N/A', 'uniform', 900, '(16, 64)', False, 4, 16, 4, 0.25, 1, 721.0437509169999, 0.029816151027384514, 0.3, 0, 3.4612923404720277, 0.22, 4.0]
['VST-CA', 'pure', 'zipfian', 900, '(16, 64)', False, 4, 16, 4, 0.25, 1, 748.017410428669, 0.030200238535884803, 0.2, '50(*)', 97.87062124075692, 0.22, 4.0]
['VST-CA', 'pure', 'uniform', 900, '(16, 64)', False, 4, 16, 4, 0.25, 1, 720.0168548448886, 0.029477810556998, 0.2, '50(*)', 83.52970215482492, 0.22, 4.0]
(nq, nu, np): (16, 8, 2)
	sample: 0
['VST-NCA', 'N/A', 'zipfian', 900, '(16, 64)', False, 0, 16, 8, 0.25, 2, 1118.177182837656, 0.04694846181915145, 0.36363636363636365, 0, 7.48615459458324, 0.22, 4.0]
['VST-NCA', 'N/A', 'uniform', 900, '(16, 64)', False, 0, 16, 8, 0.25, 2, 1109.3555336678007, 0.046247389311537324, 0.4, 0, 8.675021309110889, 0.22, 4.0]
['VST-CA', 'pure', 'zipfian', 900, '(16, 64)', False, 0, 16, 8, 0.25, 2, 1126.0510947384605, 0.04655635237418353, 0.21052631578947367, '50(*)', 326.41498498740384, 0.22, 4.0]
['VST-CA', 'pure', 'uniform', 900, '(16, 64)', False, 0, 16, 8, 0.25, 2, 1108.0598042691051, 0.045450267878273054, 0.25, '50(*)', 352.245473770422, 0.22, 4.0]
	sample: 1
['VST-NCA', 'N/A', 'zipfian', 900, '(16, 64)', False, 1, 16, 8, 0.25, 2, 1119.150308105228, 0.04698482334678547, 0.3, 0, 9.327341295234874, 0.22, 4.0]
['VST-NCA', 'N/A', 'uniform', 900, '(16, 64)', False, 1, 16, 8, 0.25, 2, 1061.216784445397, 0.04448076524221493, 0.36363636363636365, 0, 7.695106525026858, 0.22, 4.0]
['VST-CA', 'pure', 'zipfian', 900, '(16, 64)', False, 1, 16, 8, 0.25, 2, 1134.0794764671439, 0.04653104274861506, 0.2727272727272727, '50(*)', 467.23636614619954, 0.22, 4.0]
['VST-CA', 'pure', 'uniform', 900, '(16, 64)', False, 1, 16, 8, 0.25, 2, 1073.0517611168611, 0.04398562766703572, 0.2727272727272727, '50(*)', 315.6059592640622, 0.22, 4.0]
	sample: 2
['VST-NCA', 'N/A', 'zipfian', 900, '(16, 64)', False, 2, 16, 8, 0.25, 2, 1069.1499561999447, 0.04448343860548933, 0.36363636363636365, 0, 6.781153765823547, 0.22, 4.0]
