VST-NCA,N/A,zipfian,900,10,20,False,0,8,4,0.2,1,388.0673321859039,0.016493275695061205,0.3,0,2.2591449568609177,0.5,4.0
VST-NCA,N/A,uniform,900,10,20,False,0,8,4,0.2,1,379.0147251688979,0.01576803514603771,0.2,0,2.2753799077024293,0.5,4.0
VST-CA,mixed,zipfian,900,10,20,False,0,8,4,0.2,1,388.01385785619317,0.016382999140285345,0.2,12,4.469284860601725,0.5,4.0
VST-CA,mixed,uniform,900,10,20,False,0,8,4,0.2,1,379.01372830718776,0.015969091542914537,0.2,5,3.7022215357236146,0.5,4.0
VST-CA,pure,zipfian,900,10,20,False,0,8,4,0.2,1,388.011937984154,0.016185608248435193,0.2,50(*),30.84539361429714,0.5,4.0
VST-CA,pure,uniform,900,10,20,False,0,8,4,0.2,1,379.011992338859,0.015897504363995764,0.2,50(*),50.301047315206006,0.5,4.0
VST-NCA,N/A,zipfian,900,10,20,False,1,8,4,0.2,1,362.0514353641477,0.015082802600350904,0.3,0,2.975331721658108,0.5,4.0
VST-NCA,N/A,uniform,900,10,20,False,1,8,4,0.2,1,368.04858073436446,0.015267533246875626,0.3,0,2.2968809414701212,0.5,4.0
VST-CA,mixed,zipfian,900,10,20,False,1,8,4,0.2,1,362.02206355436925,0.014996276007205328,0.2,10,7.683208318173627,0.5,4.0
VST-CA,mixed,uniform,900,10,20,False,1,8,4,0.2,1,368.0176032813571,0.015309818231778306,0.23076923076923078,10,8.236060813969544,0.5,4.0
VST-CA,pure,zipfian,900,10,20,False,1,8,4,0.2,1,362.0143079046091,0.01475757624738088,0.2,50(*),55.32679990783586,0.5,4.0
VST-CA,pure,uniform,900,10,20,False,1,8,4,0.2,1,368.0106201508406,0.015109857255421468,0.2,50(*),59.8293711131079,0.5,4.0
VST-NCA,N/A,zipfian,900,10,20,False,2,8,4,0.2,1,330.02277605138494,0.014014106183624175,0.2727272727272727,0,1.957126223317431,0.5,4.0
VST-NCA,N/A,uniform,900,10,20,False,2,8,4,0.2,1,373.03669306142723,0.01574585779213729,0.21428571428571427,0,2.301200751065977,0.5,4.0
VST-CA,mixed,zipfian,900,10,20,False,2,8,4,0.2,1,330.01302131341583,0.013728604482714658,0.2,6,3.3396567039411593,0.5,4.0
VST-CA,mixed,uniform,900,10,20,False,2,8,4,0.2,1,373.01857798096927,0.01529540814283795,0.2,6,4.722328817666352,0.5,4.0
VST-CA,pure,zipfian,900,10,20,False,2,8,4,0.2,1,330.00607275840355,0.013496908118985634,0.125,50(*),33.84837971218715,0.5,4.0
VST-CA,pure,uniform,900,10,20,False,2,8,4,0.2,1,373.0086931460607,0.015355756975272309,0.18181818181818182,50(*),64.39200604301232,0.5,4.0
VST-NCA,N/A,zipfian,900,10,20,False,3,8,4,0.2,1,333.0229247968399,0.013694547083305498,0.2,0,2.7372644387506284,0.5,4.0
VST-NCA,N/A,uniform,900,10,20,False,3,8,4,0.2,1,331.0159931779151,0.01362563220361875,0.2,0,2.3360912445598387,0.5,4.0
VST-CA,mixed,zipfian,900,10,20,False,3,8,4,0.2,1,333.01284217644576,0.013607883569384053,0.18181818181818182,6,3.4227681368627145,0.5,4.0
VST-CA,mixed,uniform,900,10,20,False,3,8,4,0.2,1,331.01330517031454,0.013597157417350656,0.18181818181818182,6,4.878996580792204,0.5,4.0
VST-CA,pure,zipfian,900,10,20,False,3,8,4,0.2,1,333.0142544481411,0.013430985770849117,0.2,50(*),50.80007564028682,0.5,4.0
VST-CA,pure,uniform,900,10,20,False,3,8,4,0.2,1,331.0069204596585,0.013621322187632113,0.15384615384615385,50(*),54.265996714727805,0.5,4.0
VST-NCA,N/A,zipfian,900,10,20,False,4,8,4,0.2,1,350.0493386221514,0.014551937348323602,0.3,0,2.780677037014982,0.5,4.0
VST-NCA,N/A,uniform,900,10,20,False,4,8,4,0.2,1,357.03433248779174,0.014724669117284149,0.25,0,3.0748325676079844,0.5,4.0
VST-CA,mixed,zipfian,900,10,20,False,4,8,4,0.2,1,350.01023705058964,0.014337618991390215,0.18181818181818182,6,4.541591637899614,0.5,4.0
VST-CA,mixed,uniform,900,10,20,False,4,8,4,0.2,1,357.0165481820292,0.014630565525262334,0.2,6,5.6592343499271465,0.5,4.0
VST-CA,pure,zipfian,900,10,20,False,4,8,4,0.2,1,350.0074585028536,0.01410671657115289,0.15384615384615385,50(*),57.49707830411808,0.5,4.0
VST-CA,pure,uniform,900,10,20,False,4,8,4,0.2,1,357.0072620726329,0.014481243058962716,0.14285714285714285,50(*),62.306937404840255,0.5,4.0
VST-NCA,N/A,zipfian,900,10,20,False,5,8,4,0.2,1,333.0236492545409,0.013829392914812473,0.2,0,2.221650672218402,0.5,4.0
VST-NCA,N/A,uniform,900,10,20,False,5,8,4,0.2,1,338.0398978973351,0.013861953870694664,0.3,0,2.1835046700435896,0.5,4.0
VST-CA,mixed,zipfian,900,10,20,False,5,8,4,0.2,1,333.0074035610358,0.013684282463974467,0.16666666666666666,8,5.269311750364523,0.5,4.0
VST-CA,mixed,uniform,900,10,20,False,5,8,4,0.2,1,338.01210934290043,0.013962221358999941,0.18181818181818182,8,6.973571571157549,0.5,4.0
VST-CA,pure,zipfian,900,10,20,False,5,8,4,0.2,1,333.0107573924734,0.013489308782625749,0.18181818181818182,50(*),52.00002668449747,0.5,4.0
VST-CA,pure,uniform,900,10,20,False,5,8,4,0.2,1,338.013025266899,0.013937672002820926,0.2,50(*),60.141889170045374,0.5,4.0
