Spiders,0,100,8,6,0.006228826,1,0.010154657,53,0,0,0,8,68,27,37,24,45,0,0,0,0
Dreyfus,0,100,8,6,0.006228826,1,0.007971271,45,0,0,0,8,68,27,37,24,45,0,0,0,0
Gravitation 2,0,100,8,6,0.006228826,1,0.011406817,53,0,0,0,8,68,27,37,24,45,0,0,0,0
Gravitation 3,0,100,8,6,0.006228826,1,0.012042371,53,0,0,0,8,68,27,37,24,45,0,0,0,0
Spiders,0,100,8,6,0.006228826,2,0.011792097,58,1,0,0,66,47,93,82,38,74,0,0,0,0
Dreyfus,0,100,8,6,0.006228826,2,0.012220405,65,1,0,0,66,47,93,82,38,74,0,0,0,0
Gravitation 2,0,100,8,6,0.006228826,2,0.015649635,61,1,0,0,66,47,93,82,38,74,0,0,0,0
Gravitation 3,0,100,8,6,0.006228826,2,0.012913199,61,1,0,0,66,47,93,82,38,74,0,0,0,0
Spiders,0,100,8,6,0.006228826,3,0.010437301,82,1,0,0,93,63,55,66,47,18,0,0,0,0
Dreyfus,0,100,8,6,0.006228826,3,0.013919033,82,1,0,0,93,63,55,66,47,18,0,0,0,0
Gravitation 2,0,100,8,6,0.006228826,3,0.012589106,87,1,0,0,93,63,55,66,47,18,0,0,0,0
Gravitation 3,0,100,8,6,0.006228826,3,0.012471469,90,1,0,0,93,63,55,66,47,18,0,0,0,0
Spiders,0,100,8,6,0.006228826,4,0.012591869,60,1,0,0,93,14,98,80,34,54,0,0,0,0
Dreyfus,0,100,8,6,0.006228826,4,0.01296728,68,2,0,0,93,14,98,80,34,54,0,0,0,0
Gravitation 2,0,100,8,6,0.006228826,4,0.013702313,64,2,0,0,93,14,98,80,34,54,0,0,0,0
Gravitation 3,0,100,8,6,0.006228826,4,0.013797448,64,2,0,0,93,14,98,80,34,54,0,0,0,0
Spiders,0,100,8,6,0.006228826,5,0.012325805,80,1,0,0,46,91,25,98,55,86,0,0,0,0
Dreyfus,0,100,8,6,0.006228826,5,0.012767535,79,1,0,0,46,91,25,98,55,86,0,0,0,0
Gravitation 2,0,100,8,6,0.006228826,5,0.015649635,83,2,1,0,46,91,25,98,55,86,0,0,0,0
Gravitation 3,0,100,8,6,0.006228826,5,0.013960087,82,2,1,0,46,91,25,98,55,86,0,0,0,0
Spiders,0,100,8,6,0.006228826,6,0.010400589,77,2,0,0,65,44,19,48,50,32,0,0,0,0
