Dreyfus,0,400,26,6,0.10046138869787175,3,0.041159045673849315,132.0,2,1,0,330,365,233,52,302,297
Gravitation 2,0,400,26,6,0.06112452836743093,3,0.043263875017665265,155.0,3,0,0,330,365,233,52,302,297
Gravitation 3,0,400,26,6,0.06112452836743093,3,0.04353467639235731,155.0,3,0,0,330,365,233,52,302,297
Spiders,0,400,26,6,0.06112452836743093,4,0.038396950602829216,151.0,3,1,0,124,256,356,6,68,33
Dreyfus,0,400,26,6,0.10046138869787175,4,0.04063560161722912,146.0,2,0,0,124,256,356,6,68,33
Gravitation 2,0,400,26,6,0.06112452836743093,4,0.04392311451582209,160.0,3,0,0,124,256,356,6,68,33
Gravitation 3,0,400,26,6,0.06112452836743093,4,0.04393574664991862,160.0,3,0,0,124,256,356,6,68,33
Spiders,0,400,26,6,0.06112452836743093,5,0.03356555406513917,151.0,2,0,0,183,379,389,330,252,92
Dreyfus,0,400,26,6,0.10046138869787175,5,0.041300367674053096,135.0,2,0,0,183,379,389,330,252,92
Gravitation 2,0,400,26,6,0.06112452836743093,5,0.04944967318300564,172.0,2,0,0,183,379,389,330,252,92
Gravitation 3,0,400,26,6,0.06112452836743093,5,0.0470440411460189,172.0,2,0,0,183,379,389,330,252,92
Spiders,0,400,26,6,0.06112452836743093,6,0.03756796680275154,211.0,4,1,0,303,89,319,217,36,64
Dreyfus,0,400,26,6,0.10046138869787175,6,0.04064547047199185,166.0,1,0,1,303,89,319,217,36,64
Gravitation 2,0,400,26,6,0.06112452836743093,6,0.04893017666829036,227.0,3,1,0,303,89,319,217,36,64
Gravitation 3,0,400,26,6,0.06112452836743093,6,0.04768630621398362,227.0,3,1,0,303,89,319,217,36,64
Spiders,0,400,26,6,0.06112452836743093,7,0.03502101276556102,129.0,4,0,0,90,130,231,259,306,253
Dreyfus,0,400,26,6,0.10046138869787175,7,0.04048954256673909,88.0,0,0,0,90,130,231,259,306,253
Gravitation 2,0,400,26,6,0.06112452836743093,7,0.04771275474474801,155.0,4,0,0,90,130,231,259,306,253
Gravitation 3,0,400,26,6,0.06112452836743093,7,0.050148388100213825,155.0,4,0,0,90,130,231,259,306,253
Spiders,0,400,26,6,0.06112452836743093,8,0.0463571688545259,184.0,5,2,0,132,140,301,277,285,306
Dreyfus,0,400,26,6,0.10046138869787175,8,0.041759072043429324,140.0,5,1,0,132,140,301,277,285,306
Gravitation 2,0,400,26,6,0.06112452836743093,8,0.051560029085488734,169.0,5,1,0,132,140,301,277,285,306
Gravitation 3,0,400,26,6,0.06112452836743093,8,0.04878609138875323,167.0,5,1,0,132,140,301,277,285,306
Spiders,0,400,26,6,0.06112452836743093,9,0.034261505703013784,199.0,6,1,0,307,301,53,219,130,19
Dreyfus,0,400,26,6,0.10046138869787175,9,0.041664725791896506,152.0,4,0,0,307,301,53,219,130,19
Gravitation 2,0,400,26,6,0.06112452836743093,9,0.04794447545457903,175.0,4,0,0,307,301,53,219,130,19
Gravitation 3,0,400,26,6,0.06112452836743093,9,0.046738106648371414,175.0,4,0,0,307,301,53,219,130,19
Spiders,0,400,26,6,0.06112452836743093,10,0.037402564796926274,189.0,4,1,0,324,42,223,100,37,118
Dreyfus,0,400,26,6,0.10046138869787175,10,0.04079271378505345,175.0,2,1,0,324,42,223,100,37,118
Gravitation 2,0,400,26,6,0.06112452836743093,10,0.04909636818249652,197.0,4,1,0,324,42,223,100,37,118
Gravitation 3,0,400,26,6,0.06112452836743093,10,0.048611215282356124,224.0,4,1,0,324,42,223,100,37,118
Spiders,0,900,72,6,0.3626085672712458,1,0.11131673418279142,256.0,8,2,0,853,720,118,252,521,466
Dreyfus,0,900,72,6,0.7057154880227632,1,0.1513238871287239,226.0,5,2,0,853,720,118,252,521,466
Gravitation 2,0,900,72,6,0.3626085672712458,1,0.14093395683441878,267.0,7,1,0,853,720,118,252,521,466
Gravitation 3,0,900,72,6,0.3626085672712458,1,0.13999523136937864,267.0,7,1,0,853,720,118,252,521,466
Spiders,0,900,72,6,0.3626085672712458,2,0.09183758865192226,237.0,7,0,0,304,270,614,837,548,101
Dreyfus,0,900,72,6,0.7057154880227632,2,0.12099531742579206,198.0,3,0,0,304,270,614,837,548,101
Gravitation 2,0,900,72,6,0.3626085672712458,2,0.13352047313658222,261.0,8,0,0,304,270,614,837,548,101
Gravitation 3,0,900,72,6,0.3626085672712458,2,0.13493053510509512,261.0,8,0,0,304,270,614,837,548,101
Spiders,0,900,72,6,0.3626085672712458,3,0.12227550526562592,191.0,6,1,0,20,813,346,880,377,517
Dreyfus,0,900,72,6,0.7057154880227632,3,0.1154940230268009,168.0,2,0,0,20,813,346,880,377,517
Gravitation 2,0,900,72,6,0.3626085672712458,3,0.18451008241678046,219.0,6,1,0,20,813,346,880,377,517
Gravitation 3,0,900,72,6,0.3626085672712458,3,0.18577763812251824,219.0,6,1,0,20,813,346,880,377,517
Spiders,0,900,72,6,0.3626085672712458,4,0.1461020786966163,244.0,7,1,0,301,565,815,407,514,840
Dreyfus,0,900,72,6,0.7057154880227632,4,0.11791702424817085,196.0,4,0,0,301,565,815,407,514,840
Gravitation 2,0,900,72,6,0.3626085672712458,4,0.13647007644809594,277.0,7,1,0,301,565,815,407,514,840
Gravitation 3,0,900,72,6,0.3626085672712458,4,0.13652889482248298,277.0,7,1,0,301,565,815,407,514,840
Spiders,0,900,72,6,0.3626085672712458,5,0.10189316214686261,196.0,6,1,0,780,483,870,694,117,142
