Gravitation 2,1,400,70,6,3,0.5251782117793056,163.0,15,2,0,193,192,377,379,282,141
Gravitation 3,1,400,70,6,3,0.5274429165702799,173.0,15,1,0,193,192,377,379,282,141
Spiders,1,900,141,6,1,0.4603058871271415,151.0,8,1,0,540,396,662,500,453,841
Dreyfus,1,900,141,6,1,1.8776972566952281,137.0,7,1,0,540,396,662,500,453,841
Gravitation 2,1,900,141,6,1,0.48945414180044367,160.0,10,2,0,540,396,662,500,453,841
Gravitation 3,1,900,141,6,1,0.4463489579673663,165.0,11,2,0,540,396,662,500,453,841
Spiders,1,900,141,6,2,1.2098797499784908,250.0,12,2,0,507,608,280,482,410,108
Dreyfus,1,900,141,6,2,2.1835978054825063,191.0,7,0,0,507,608,280,482,410,108
Gravitation 2,1,900,141,6,2,1.3693687327837836,298.0,18,1,0,507,608,280,482,410,108
Gravitation 3,1,900,141,6,2,1.3640423144911864,259.0,18,0,0,507,608,280,482,410,108
Spiders,1,900,141,6,3,2.8147592275765803,208.0,12,0,0,393,42,731,650,714,41
Dreyfus,1,900,141,6,3,1.9237145421917177,181.0,7,1,0,393,42,731,650,714,41
Gravitation 2,1,900,141,6,3,2.6920956789416834,245.0,20,1,0,393,42,731,650,714,41
Gravitation 3,1,900,141,6,3,2.751360520317604,261.0,19,1,0,393,42,731,650,714,41
