0,10,1,0.012746612811668303,79.0,2,0,0,0.026215625791975596,77,2,0,0
0,10,2,0.014103382964461855,86.0,2,0,0,0.031579940486858235,90,1,0,0
0,10,3,0.014804466406813141,116.0,3,2,0,0.0274472588663765,72,1,0,0
0,10,4,0.012461600286117841,78.0,2,0,0,0.02624246907693048,71,0,0,0
0,10,5,0.014056407215790795,117.0,5,2,0,0.025946008679855137,85,2,0,0
0,20,1,0.28376115476653846,122.0,8,2,0,0.3667317747911554,105,4,0,0
0,20,2,0.30301529040881536,146.0,7,2,0,0.36198248712509207,108,5,2,0
0,20,3,0.2924046925220134,162.0,8,2,0,0.4131990800648344,140,3,0,0
0,20,4,0.2873656552801136,146.0,10,0,0,0.3734698340690237,121,5,0,0
0,20,5,0.3247579564680869,191.0,8,1,0,0.37941601644072254,185,11,2,0
0,30,1,1.4652758423857049,218.0,17,1,0,1.868333687296258,215,14,2,1
0,30,2,1.484244570748241,212.0,10,1,0,1.8392481985392504,202,9,2,0
0,30,3,1.4666049797451635,134.0,7,1,1,1.8560457788539662,115,5,0,0
0,30,4,1.5299425001046085,266.0,16,2,0,1.7978341416583294,213,10,0,0
0,30,5,1.6030655820926896,247.0,12,4,0,1.7879573918116947,202,10,0,0
1,10,1,0.04041217074539816,51.0,4,0,0,0.0348607425642129,55,4,0,0
1,10,2,0.020382343118761526,95.0,10,2,0,0.034561124133613674,81,6,2,0
1,10,3,0.019697839352414093,45.0,4,0,1,0.037256110992245794,41,1,0,0
1,10,4,0.03566327783352463,67.0,5,2,1,0.03837839715587421,56,3,1,0
1,10,5,0.020310103101898846,84.0,7,1,0,0.03690201648335645,68,3,2,0
1,20,1,0.298028360720064,143.0,12,1,0,0.3917848494920726,130,10,1,0
1,20,2,0.3184533372914018,130.0,10,1,0,0.38076686528065906,121,5,1,0
1,20,3,0.2950092806710174,125.0,10,1,0,0.4139731930324331,117,8,0,0
1,20,4,0.28631442487077763,117.0,7,0,0,0.3710642020320378,121,5,1,0
1,20,5,0.3166769434340928,112.0,7,2,0,0.38069502001798483,103,7,2,0
1,30,1,1.6341418162324501,143.0,7,0,0,1.976025788501758,141,7,1,0
1,30,2,1.616810133497971,213.0,9,1,0,1.9473421595106934,196,7,0,0
1,30,3,1.6230871198813226,218.0,10,1,0,1.9607551173959479,184,6,1,0
1,30,4,1.619308532769729,170.0,5,1,1,1.932419266846729,168,3,1,0
1,30,5,1.662641489770735,229.0,13,1,0,1.9634074708020037,205,8,1,1
2,10,1,0.04601373270877929,89.0,4,0,0,0.04066244490218196,77,2,0,0
2,10,2,0.020040091235586033,59.0,2,0,0,0.03991478046535235,54,2,0,0
2,10,3,0.019550990793547385,67.0,3,1,0,0.03827694532891712,66,2,0,0
2,10,4,0.02142607319847656,121.0,7,1,0,0.03771915765771183,117,7,2,0
2,10,5,0.02022009914646361,56.0,3,1,0,0.03674214103619988,53,2,1,0
2,20,1,0.29071159179890316,163.0,7,1,0,0.36199906680109706,157,7,1,1
2,20,2,0.30735008617484283,114.0,5,0,0,0.35724109454284303,100,2,0,0
2,20,3,0.2875681641798451,153.0,10,1,0,0.3951824988098167,136,8,2,0
2,20,4,0.2879214691803611,97.0,7,2,1,0.377272106432045,95,5,1,0
2,20,5,0.306605579771535,80.0,4,1,1,0.3699371788181196,76,3,1,0
2,30,1,1.5021020660644808,201.0,7,1,0,1.8670858693000412,187,6,0,0
2,30,2,1.615710348323205,308.0,20,2,0,1.905596509109742,260,12,0,0
2,30,3,1.5454942361940667,233.0,9,2,1,1.888309433598792,190,13,3,0
2,30,4,1.5311287364471013,193.0,12,1,0,1.8731074497221343,189,11,1,0
2,30,5,1.557627400993674,180.0,10,0,1,1.8041979739635963,158,6,2,0
3,10,1,0.03932146491701616,83.0,3,0,0,0.029298261265694236,70,0,0,0
3,10,2,0.012756481666428954,46.0,3,0,0,0.026444977976659345,40,3,0,0
3,10,3,0.015141191731324,95.0,3,1,0,0.04273411489399592,86,2,1,0
3,10,4,0.01343624838249724,60.0,2,1,1,0.027003555156241532,51,1,1,0
3,10,5,0.01502592350769305,71.0,3,1,0,0.0289737733210913,68,5,0,0
3,20,1,0.28825227319200764,110.0,6,1,0,0.3660875359522393,105,5,1,0
3,20,2,0.3134932508876105,187.0,9,1,0,0.3699434948851632,160,6,1,0
3,20,3,0.27859776995461516,98.0,7,1,1,0.38811639879962456,93,7,1,0
3,20,4,0.27892186314502965,107.0,6,0,1,0.3694034711525518,79,4,0,0
3,20,5,0.27468417690988645,127.0,7,1,0,0.3927302857783417,110,5,1,0
3,30,1,1.4804557200276918,142.0,7,2,0,1.916253293236835,112,6,1,0
3,30,2,1.6107774999585587,244.0,15,1,0,1.7984637745922072,222,13,0,0
3,30,3,1.6371861605496747,167.0,7,0,0,1.8333059637094493,154,4,0,0
3,30,4,1.640452356721994,198.0,10,1,0,1.829969501291231,177,8,0,0
3,30,5,1.5262349687473176,179.0,7,0,2,1.8512534629811341,136,3,0,0
4,10,1,0.03575249228059363,74.0,4,0,0,0.026085751663302403,73,3,0,0
4,10,2,0.014445240093451162,59.0,2,0,0,0.027435810994859366,62,1,0,0
4,10,3,0.014373000076574272,51.0,2,0,0,0.030321464127510467,46,2,0,0
4,10,4,0.01648927729192451,69.0,7,1,0,0.03134190370997203,63,6,0,0
4,10,5,0.01672968259394736,83.0,6,0,2,0.03244839970598434,65,3,0,0
4,20,1,0.2992899951129431,99.0,3,0,0,0.400685372225567,99,4,1,0
4,20,2,0.2824430705244225,137.0,11,2,1,0.3607504592964972,118,8,1,0
