Algorithm,Strategy,POIs dist,Net size,Min cap,Max cap,Merge cells,Sample,Num queries,Num users,Prop POIs,Num POIs,Cost,WARL,MRL,Num it,Elapsed time,Alpha,Beta
VST-NCA,N/A,uniform,1600,5,10,TRUE,0,1,2,0.25,1,61.0060638,0.002960546,0.2,0,0.084953016,0.15,4
VST-CA,mixed,uniform,1600,5,10,TRUE,0,1,2,0.25,1,61.0060638,0.002960546,0.2,2,0.112208137,0.15,4
VST-NCA,N/A,uniform,1600,5,10,TRUE,1,1,2,0.25,1,61.0060638,0.002960546,0.2,0,0.087586432,0.15,4
VST-CA,mixed,uniform,1600,5,10,TRUE,1,1,2,0.25,1,61.0060638,0.002960546,0.2,2,0.110747541,0.15,4
VST-NCA,N/A,uniform,1600,5,10,TRUE,2,1,2,0.25,1,61.0060638,0.002960546,0.2,0,0.086920874,0.15,4
VST-CA,mixed,uniform,1600,5,10,TRUE,2,1,2,0.25,1,61.00640499,0.00298573,0.2,3,0.218773636,0.15,4
VST-NCA,N/A,uniform,1600,5,10,TRUE,3,1,2,0.25,1,61.0060638,0.002960546,0.2,0,0.086305449,0.15,4
VST-CA,mixed,uniform,1600,5,10,TRUE,3,1,2,0.25,1,61.0060638,0.002960546,0.2,2,0.12980477,0.15,4
VST-NCA,N/A,uniform,1600,5,10,TRUE,4,1,2,0.25,1,61.0060638,0.002960546,0.2,0,0.084023366,0.15,4
VST-CA,mixed,uniform,1600,5,10,TRUE,4,1,2,0.25,1,61.0060638,0.002960546,0.2,2,0.109271155,0.15,4
VST-NCA,N/A,uniform,1600,5,10,TRUE,5,1,2,0.25,1,61.0060638,0.002960546,0.2,0,0.086006619,0.15,4
VST-CA,mixed,uniform,1600,5,10,TRUE,5,1,2,0.25,1,61.0060638,0.002960546,0.2,2,0.110774384,0.15,4
VST-NCA,N/A,uniform,1600,5,10,TRUE,6,1,2,0.25,1,61.0060638,0.002960546,0.2,0,0.092908924,0.15,4
VST-CA,mixed,uniform,1600,5,10,TRUE,6,1,2,0.25,1,61.00640499,0.00298573,0.2,3,0.213618521,0.15,4
VST-NCA,N/A,uniform,1600,5,10,TRUE,7,1,2,0.25,1,61.0060638,0.002960546,0.2,0,0.090419989,0.15,4
VST-CA,mixed,uniform,1600,5,10,TRUE,7,1,2,0.25,1,61.0060638,0.002960546,0.2,2,0.115283285,0.15,4
VST-NCA,N/A,uniform,1600,5,10,TRUE,8,1,2,0.25,1,61.0060638,0.002960546,0.2,0,0.085305928,0.15,4
VST-CA,mixed,uniform,1600,5,10,TRUE,8,1,2,0.25,1,61.0060638,0.002960546,0.2,2,0.119683627,0.15,4
VST-NCA,N/A,uniform,1600,5,10,TRUE,9,1,2,0.25,1,61.0060638,0.002960546,0.2,0,0.123737768,0.15,4
VST-CA,mixed,uniform,1600,5,10,TRUE,9,1,2,0.25,1,61.0060638,0.002960546,0.2,2,0.172254829,0.15,4
VST-NCA,N/A,uniform,1600,5,10,TRUE,0,1,4,0.25,1,66.00666449,0.003249389,0.2,0,0.251532442,0.15,4
VST-CA,mixed,uniform,1600,5,10,TRUE,0,1,4,0.25,1,66.00666449,0.003249389,0.2,2,0.233768038,0.15,4
VST-NCA,N/A,uniform,1600,5,10,TRUE,1,1,4,0.25,1,66.00666449,0.003249389,0.2,0,0.200918833,0.15,4
VST-CA,mixed,uniform,1600,5,10,TRUE,1,1,4,0.25,1,66.00666449,0.003249389,0.2,2,0.240494676,0.15,4
VST-NCA,N/A,uniform,1600,5,10,TRUE,2,1,4,0.25,1,66.00666449,0.003249389,0.2,0,0.201201479,0.15,4
VST-CA,mixed,uniform,1600,5,10,TRUE,2,1,4,0.25,1,66.00566648,0.003078449,0.2,3,0.454575851,0.15,4
VST-NCA,N/A,uniform,1600,5,10,TRUE,3,1,4,0.25,1,66.00666449,0.003249389,0.2,0,0.211045897,0.15,4
VST-CA,mixed,uniform,1600,5,10,TRUE,3,1,4,0.25,1,66.00666449,0.003249389,0.2,2,0.227854992,0.15,4
VST-NCA,N/A,uniform,1600,5,10,TRUE,4,1,4,0.25,1,66.00666449,0.003249389,0.2,0,0.209283708,0.15,4
VST-CA,mixed,uniform,1600,5,10,TRUE,4,1,4,0.25,1,66.00666449,0.003249389,0.2,2,0.235136657,0.15,4
VST-NCA,N/A,uniform,1600,5,10,TRUE,5,1,4,0.25,1,66.00666449,0.003249389,0.2,0,0.207468226,0.15,4
VST-CA,mixed,uniform,1600,5,10,TRUE,5,1,4,0.25,1,66.00666449,0.003249389,0.2,2,0.239389755,0.15,4
VST-NCA,N/A,uniform,1600,5,10,TRUE,6,1,4,0.25,1,66.00666449,0.003249389,0.2,0,0.218095051,0.15,4
VST-CA,mixed,uniform,1600,5,10,TRUE,6,1,4,0.25,1,66.00566648,0.003078449,0.2,3,0.448157517,0.15,4
VST-NCA,N/A,uniform,1600,5,10,TRUE,7,1,4,0.25,1,66.00666449,0.003249389,0.2,0,0.202005991,0.15,4
VST-CA,mixed,uniform,1600,5,10,TRUE,7,1,4,0.25,1,66.00666449,0.003249389,0.2,2,0.27001609,0.15,4
