Algorithm,Strategy,POIs dist,Net size,Min cap,Max cap,Merge cells,Sample,Num queries,Num users,Prop POIs,Num POIs,Cost,WARL,MRL,Num it,Elapsed time,Alpha,Beta
VST-NCA,N/A,uniform,1849,5,10,TRUE,0,1,2,0.5,1,36.00251196,0.001381198,0.2,0,0.06761337,0.15,4
VST-CA,mixed,uniform,1849,5,10,TRUE,0,1,2,0.5,1,36.00251196,0.001381198,0.2,2,0.093221965,0.15,4
VST-NCA,N/A,uniform,1849,5,10,TRUE,1,1,2,0.5,1,36.00251196,0.001381198,0.2,0,0.069814528,0.15,4
VST-CA,mixed,uniform,1849,5,10,TRUE,1,1,2,0.5,1,36.00251196,0.001381198,0.2,2,0.094020556,0.15,4
VST-NCA,N/A,uniform,1849,5,10,TRUE,2,1,2,0.5,1,36.00251196,0.001381198,0.2,0,0.073759322,0.15,4
VST-CA,mixed,uniform,1849,5,10,TRUE,2,1,2,0.5,1,36.00366853,0.001500839,0.2,3,0.184959253,0.15,4
VST-NCA,N/A,uniform,1849,5,10,TRUE,3,1,2,0.5,1,36.00251196,0.001381198,0.2,0,0.064435981,0.15,4
VST-CA,mixed,uniform,1849,5,10,TRUE,3,1,2,0.5,1,36.00251196,0.001381198,0.2,2,0.089591001,0.15,4
VST-NCA,N/A,uniform,1849,5,10,TRUE,4,1,2,0.5,1,36.00251196,0.001381198,0.2,0,0.064449008,0.15,4
VST-CA,mixed,uniform,1849,5,10,TRUE,4,1,2,0.5,1,36.00251196,0.001381198,0.2,2,0.094772171,0.15,4
VST-NCA,N/A,uniform,1849,5,10,TRUE,5,1,2,0.5,1,36.00251196,0.001381198,0.2,0,0.074107497,0.15,4
VST-CA,mixed,uniform,1849,5,10,TRUE,5,1,2,0.5,1,36.00251196,0.001381198,0.2,2,0.113474909,0.15,4
VST-NCA,N/A,uniform,1849,5,10,TRUE,6,1,2,0.5,1,36.00251196,0.001381198,0.2,0,0.064316765,0.15,4
VST-CA,mixed,uniform,1849,5,10,TRUE,6,1,2,0.5,1,36.00366853,0.001500839,0.2,3,0.178820801,0.15,4
VST-NCA,N/A,uniform,1849,5,10,TRUE,7,1,2,0.5,1,36.00251196,0.001381198,0.2,0,0.066294096,0.15,4
VST-CA,mixed,uniform,1849,5,10,TRUE,7,1,2,0.5,1,36.00251196,0.001381198,0.2,2,0.094127929,0.15,4
VST-NCA,N/A,uniform,1849,5,10,TRUE,8,1,2,0.5,1,36.00251196,0.001381198,0.2,0,0.06854223,0.15,4
VST-CA,mixed,uniform,1849,5,10,TRUE,8,1,2,0.5,1,36.00251196,0.001381198,0.2,2,0.126316313,0.15,4
VST-NCA,N/A,uniform,1849,5,10,TRUE,9,1,2,0.5,1,36.00251196,0.001381198,0.2,0,0.092609304,0.15,4
VST-CA,mixed,uniform,1849,5,10,TRUE,9,1,2,0.5,1,36.00251196,0.001381198,0.2,2,0.109760652,0.15,4
VST-NCA,N/A,uniform,1849,5,10,TRUE,0,1,4,0.5,2,61.00538966,0.002471919,0.2,0,0.235769055,0.15,4
VST-CA,mixed,uniform,1849,5,10,TRUE,0,1,4,0.5,2,61.00538966,0.002471919,0.2,2,0.237381632,0.15,4
VST-NCA,N/A,uniform,1849,5,10,TRUE,1,1,4,0.5,2,61.00538966,0.002471919,0.2,0,0.19262541,0.15,4
VST-CA,mixed,uniform,1849,5,10,TRUE,1,1,4,0.5,2,61.00538966,0.002471919,0.2,2,0.227513923,0.15,4
VST-NCA,N/A,uniform,1849,5,10,TRUE,2,1,4,0.5,2,61.00538966,0.002471919,0.2,0,0.184975044,0.15,4
VST-CA,mixed,uniform,1849,5,10,TRUE,2,1,4,0.5,2,62.00684723,0.0025597,0.25,3,0.413732052,0.15,4
VST-NCA,N/A,uniform,1849,5,10,TRUE,3,1,4,0.5,2,61.00538966,0.002471919,0.2,0,0.219750262,0.15,4
VST-CA,mixed,uniform,1849,5,10,TRUE,3,1,4,0.5,2,61.00538966,0.002471919,0.2,2,0.210987868,0.15,4
VST-NCA,N/A,uniform,1849,5,10,TRUE,4,1,4,0.5,2,61.00538966,0.002471919,0.2,0,0.196655866,0.15,4
VST-CA,mixed,uniform,1849,5,10,TRUE,4,1,4,0.5,2,61.00538966,0.002471919,0.2,2,0.226002009,0.15,4
VST-NCA,N/A,uniform,1849,5,10,TRUE,5,1,4,0.5,2,61.00538966,0.002471919,0.2,0,0.227432209,0.15,4
VST-CA,mixed,uniform,1849,5,10,TRUE,5,1,4,0.5,2,61.00538966,0.002471919,0.2,2,0.235371931,0.15,4
VST-NCA,N/A,uniform,1849,5,10,TRUE,6,1,4,0.5,2,61.00538966,0.002471919,0.2,0,0.175987639,0.15,4
VST-CA,mixed,uniform,1849,5,10,TRUE,6,1,4,0.5,2,62.00684723,0.0025597,0.25,3,0.405054137,0.15,4
VST-NCA,N/A,uniform,1849,5,10,TRUE,7,1,4,0.5,2,61.00538966,0.002471919,0.2,0,0.189852646,0.15,4
VST-CA,mixed,uniform,1849,5,10,TRUE,7,1,4,0.5,2,61.00538966,0.002471919,0.2,2,0.207726002,0.15,4
VST-NCA,N/A,uniform,1849,5,10,TRUE,8,1,4,0.5,2,61.00538966,0.002471919,0.2,0,0.177152169,0.15,4
VST-CA,mixed,uniform,1849,5,10,TRUE,8,1,4,0.5,2,61.00538966,0.002471919,0.2,2,0.233860411,0.15,4
VST-NCA,N/A,uniform,1849,5,10,TRUE,9,1,4,0.5,2,61.00538966,0.002471919,0.2,0,0.185751923,0.15,4
VST-CA,mixed,uniform,1849,5,10,TRUE,9,1,4,0.5,2,61.00538966,0.002471919,0.2,2,0.217505286,0.15,4
VST-NCA,N/A,uniform,1849,5,10,TRUE,0,1,8,0.5,4,97.0284447,0.004065483,0.4,0,2.004069932,0.15,4
VST-CA,mixed,uniform,1849,5,10,TRUE,0,1,8,0.5,4,97.0284447,0.004065483,0.4,2,1.916496132,0.15,4
VST-NCA,N/A,uniform,1849,5,10,TRUE,1,1,8,0.5,4,97.0284447,0.004065483,0.4,0,1.871066062,0.15,4
VST-CA,mixed,uniform,1849,5,10,TRUE,1,1,8,0.5,4,97.0284447,0.004065483,0.4,2,1.997636597,0.15,4
VST-NCA,N/A,uniform,1849,5,10,TRUE,2,1,8,0.5,4,97.0284447,0.004065483,0.4,0,1.908751814,0.15,4
VST-CA,mixed,uniform,1849,5,10,TRUE,2,1,8,0.5,4,97.00962923,0.004056474,0.2,3,4.218397829,0.15,4
VST-NCA,N/A,uniform,1849,5,10,TRUE,3,1,8,0.5,4,97.0284447,0.004065483,0.4,0,1.958515513,0.15,4
VST-CA,mixed,uniform,1849,5,10,TRUE,3,1,8,0.5,4,97.0284447,0.004065483,0.4,2,2.258780157,0.15,4
VST-NCA,N/A,uniform,1849,5,10,TRUE,4,1,8,0.5,4,97.0284447,0.004065483,0.4,0,1.979078735,0.15,4
VST-CA,mixed,uniform,1849,5,10,TRUE,4,1,8,0.5,4,97.0284447,0.004065483,0.4,2,1.96369313,0.15,4
VST-NCA,N/A,uniform,1849,5,10,TRUE,5,1,8,0.5,4,97.0284447,0.004065483,0.4,0,2.14106044,0.15,4
VST-CA,mixed,uniform,1849,5,10,TRUE,5,1,8,0.5,4,97.0284447,0.004065483,0.4,2,2.024633153,0.15,4
