Algorithm,Strategy,POIs dist,Net size,Min cap,Max cap,Merge cells,Sample,Num queries,Num users,Prop POIs,Num POIs,Cost,WARL,MRL,Num it,Elapsed time,Alpha,Beta
VST-NCA,N/A,zipfian,900,10,20,FALSE,5,8,16,0.25,4,799.0952343,0.033417848,0.3,0,12.65268,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,5,8,16,0.25,4,777.0949187,0.032271682,0.3,0,12.57738,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,5,8,16,0.25,4,809.019873,0.033409839,0.2,50,486.44058,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,5,8,16,0.25,4,783.033677,0.032156056,0.272727273,50,473.29578,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,6,8,16,0.25,4,799.1430358,0.033227368,0.384615385,0,13.30044,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,6,8,16,0.25,4,698.0654188,0.029217907,0.333333333,0,12.23316,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,6,8,16,0.25,4,790.0296875,0.032084392,0.25,50,476.46282,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,6,8,16,0.25,4,699.0219567,0.02894732,0.2,50,499.65276,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,7,8,16,0.25,4,837.1217821,0.035033861,0.333333333,0,13.50048,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,7,8,16,0.25,4,752.0623334,0.031173944,0.3,0,12.44034,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,7,8,16,0.25,4,819.0282437,0.03384201,0.230769231,50,473.64714,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,7,8,16,0.25,4,747.0271752,0.030741325,0.25,50,489.20232,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,8,8,16,0.25,4,794.0795769,0.033090583,0.363636364,0,13.0842,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,8,8,16,0.25,4,765.0444299,0.031673894,0.3,0,12.01962,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,8,8,16,0.25,4,782.022394,0.031917527,0.235294118,50,482.93754,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,8,8,16,0.25,4,757.0182241,0.031135875,0.2,50,497.53626,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,9,8,16,0.25,4,808.0812401,0.033656556,0.333333333,0,12.85734,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,9,8,16,0.25,4,790.0704223,0.032723694,0.3,0,12.7449,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,9,8,16,0.25,4,809.0246361,0.033204047,0.2,50,480.82344,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,9,8,16,0.25,4,800.0457848,0.032528261,0.3,50,482.95062,0.22,4
VST-NCA,N/A,zipfian,900,10,20,FALSE,5,16,4,0.25,1,747.07729,0.030816325,0.333333333,0,24.80406,0.22,4
VST-NCA,N/A,uniform,900,10,20,FALSE,5,16,4,0.25,1,732.0456707,0.030196007,0.3,0,23.03016,0.22,4
VST-CA,pure,zipfian,900,10,20,FALSE,5,16,4,0.25,1,747.019818,0.030405811,0.214285714,50,998.26374,0.22,4
VST-CA,pure,uniform,900,10,20,FALSE,5,16,4,0.25,1,732.0252412,0.029922061,0.2,50,995.18952,0.22,4
